01.01.2007   N1106
Образец: "Ag"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    2387     425     101
    839    2488     427     101
    844    2387     430     101
    849    1950     432    67,2
    854    1782     435    67,2
    859    1681     437    67,2
    864    1782     440     101
    869    2017     442     101
    874    2219     445     101
    879    2454     447     101
    884    2252     450     101
    889    2051     452     134
    894    1916     455     134
    899    1950     457     168
    904    1883     460     202
    905    2161     460     237
    907    2197     461     236
    909    2177     462     282
    911    2151     463     267
    913    2176     464     294
    915    2191     465     321
    917    2077     466     314
    919    2109     467     319
    921    2178     468     382
    923    2092     469     413
    925    2132     470     417
    927    2121     471     470
    929    2076     472     506
    931    2162     473     638
    933    2053     474     698
    935    2056     475     676
    937    2141     476     730
    939    2057     477     789
    941    2068     478     804
    943    2072     479     802
    945    2097     480     847
    947    2170     481     949
    949    2139     482     995
    951    1980     483    1023
    953    2077     484    1035
    955    2049     485    1146
    957    2099     486    1112
    959    2166     487    1070
    961    2165     488    1170
    963    2101     489    1285
    966    2064     490    1340
    967    2072     491    1370
    969    2147     492    1474
    971    2096     493    1362
    974    2106     494    1391
    976    2101     495    1428
    977    2056     496    1448
    980    2084     497    1446
    982    2043     498    1332
    984    2084     499    1409
    986    1985     500    1379
    988    2043     501    1340
    990    2087     502    1234
    992    1980     503    1237
    994    1901     504    1333
    996    1926     505    1192
    998    1857     506    1171
   1000    1920     507    1033
   1002    1892     508     969
   1004    1803     509     917
   1006    1720     510     862
   1008    1733     511     773
   1010    1799     512     700
   1012    1706     513     600
   1014    1586     514     555
   1016    1688     515     496
   1018    1582     516     469
   1020    1660     517     408
   1022    1551     518     406
   1024    1587     519     401
   1027    1594     520     424
   1028    1587     521     410
   1030    1550     522     405
   1032    1522     523     404
   1035    1604     524     385
   1037    1539     525     429
   1039    1593     526     468
   1041    1644     527     490
   1043    1462     528     501
   1045    1552     529     560
   1047    1515     530     602
   1049    1537     531     733
   1051    1492     532     794
   1053    1565     533     912
   1055    1642     534    1052
   1057    1638     535    1220
   1059    1687     536    1422
   1061    1670     537    1557
   1063    1680     538    1764
   1065    1784     539    1918
   1067    1840     540    2229
   1069    1819     541    2640
   1071    1920     542    2813
   1073    2013     543    3022
   1075    2069     544    3386
   1077    2166     545    3610
   1079    2140     546    3842
   1081    2290     547    4081
   1083    2380     548    4317
   1085    2395     549    4638
   1087    2573     550    4941
   1089    2362     551    5177
   1091    2365     552    5613
   1093    2459     553    5711
   1095    2573     554    5958
   1097    2576     555    6291
   1099    2803     556    6427
   1101    2800     557    6774
   1103    2798     558    7002
   1105    2823     559    7004
   1107    2766     560    7104
   1109    2827     561    7234
   1111    2787     562    7123
   1113    2803     563    7155
   1115    2802     564    7112
   1117    2787     565    6766
   1119    2678     566    6298
   1121    2374     567    6357
   1124    2353     568    6056
   1126    2206     569    5394
   1128    2097     570    4912
   1129    1955     571    4403
   1131    1889     572    3800
   1133    1837     573    3259
   1135    1590     574    2695
   1138    1565     575    2314
   1140    1422     576    1741
   1142    1370     577    1430
   1144    1342     578    1179
   1146    1248     579     911
   1148    1247     580     748
   1150    1194     581     632
   1152    1145     582     572
   1154    1194     583     503
   1156    1158     584     455
   1158    1219     585     443
   1160    1220     586     438
   1162    1293     587     389
   1164    1321     588     422
   1166    1383     589     413
   1168    1335     590     376
   1170    1380     591     429
   1172    1316     592     380
   1174    1345     593     384
   1176    1336     594     386
   1178    1341     595     367
   1180    1348     596     416
   1182    1355     597     366
   1184    1229     598     375
   1186    1142     599     353
   1188    1127     600     392
   1189    1109     601     336
   1194     941     603     336
   1199     840     606     336
   1204     807     608     303
   1209     807     610     269
   1214     908     613     269
   1219    1009     615     269
   1224     908     618     303
   1229     840     620     336
   1234     874     623     269
   1239     807     625     269
   1244     740     628     235
   1249     605     630     235
   1254     605     633     303
   1259     571     635     269
   1264     538     638     303
   1269     571     640     269
   1274     605     643     269
   1279     571     645     235
   1284     504     648     235
   1289     538     650     235
   1294     504     652     235
   1299     504     655     235
   1304     605     657     303
   1309     605     660     303
   1314     538     662     303
   1319     504     665     235
   1324     740     667     168
   1329     773     670     134
   1334     639     672     134
   1339     639     675     168
   1344     639     677     168
   1349     571     680     202
   1354     437     682     202
   1359     403     685     168
   1364     403     687     202
   1369     471     690     202
   1374     471     692     202
   1379     504     695     202
   1384     605     697     202
   1389     571     700     202
   1394     471     702     202
   1399     471     704     168
   1404     471     707     202
   1409     370     709     134
   1414     336     712     134
   1419     437     714     168
   1424     437     717     202
   1429     471     719     235
   1434     471     722     235
   1439     538     724     168
   1444     471     727     168
   1449     437     729     168
   1454     336     732     202
   1459     370     734     202
   1464     437     737     202
   1469     437     739     235
   1474     403     742     202
   1479     336     744     168
   1484     336     747     134
   1489     403     749     134
   1494     403     752     134
   1499     269     754     101
   1504     303     757     101
   1509     336     759    67,2
   1514     235     761     134
   1519     303     764     168
   1524     471     766     168
   1529     605     769     168
   1534     807     771     168
   1539     874     774     168
   1544     773     776     168
   1549     639     779     134
   1554     437     781     101
   1559     235     784     101
   1564     336     786     101
   1569     303     789     101
   1574     168     791     134
   1579     235     794     101
   1584     303     796     101
   1589     235     799     101
   1594     269     801     134
   1599     269     804     134
   1604     235     806    67,2
   1609     202     809    67,2
   1614     134     811     101
   1619     202     813     101
   1624     235     816     101
   1629     202     818     101
   1634     202     821    67,2
   1639     168     823     101
   1644     202     826     101
   1649     269     828     168
   1654     303     831     235
   1659     235     833     336
   1664     235     836     403
   1669     303     838     403
   1674     303     841     370
   1679     202     843     235
   1684     101     846     235
   1689     101     848     168
   1694     101     851     134
   1699    67,2     853     134
   1704     134     856     101
   1709     202     858    33,6
   1714     168     861    67,2
   1719     202     863     101
   1724     134     866     101
