01.01.2007   N1106
Образец: "Co"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1783     425     135
    839    1514     427     101
    844    1413     430     101
    849    1413     432    67,3
    854    1480     435    67,3
    859    1480     437    67,3
    864    1447     440    67,3
    869    1447     442    67,3
    874    1312     445    67,3
    879    1379     447    67,3
    884    1379     450    67,3
    889    1447     452    67,3
    894    1413     455    67,3
    899    1447     457    67,3
    904    1480     460    67,3
    909    1480     462    67,3
    914    1514     465    67,3
    919    1514     467    67,3
    924    1447     469    67,3
    929    1379     472     101
    934    1346     474     101
    939    1413     477     101
    944    1413     479     101
    949    1447     482     135
    954    1615     484     168
    959    1615     487     168
    964    1581     489     168
    969    1548     492     168
    974    1447     494     168
    979    1379     497     135
    984    1413     499     135
    989    1480     502     135
    994    1514     504     135
    999    1548     507     135
   1004    1480     509     135
   1009    1447     511     101
   1014    1346     514    67,3
   1019    1413     516    67,3
   1024    1346     519    67,3
   1029    1278     521    67,3
   1034    1245     524    67,3
   1039    1312     526     101
   1044    1312     529     101
   1049    1211     531     135
   1054    1178     534     135
   1059    1077     536     101
   1064    1110     538     101
   1069    1144     541     101
   1074    1110     543     101
   1079    1043     546     101
   1084    1043     548     101
   1089     976     551     101
   1094    1077     553     135
   1099    1043     556     135
   1104    1009     558     135
   1109     942     561     168
   1114     875     563     168
   1119     942     566     168
   1124     976     568     168
   1129    1009     571     168
   1134    1009     573     168
   1139     976     576     168
   1144    1043     578     168
   1149    1009     581     135
   1154     942     583     135
   1159     908     586     135
   1164     942     588     135
   1169     976     591     202
   1174    1009     593     202
   1179     875     596     202
   1184     841     598     168
   1189     807     601     101
   1194     774     603     101
   1199     774     606     101
   1204     673     608     101
   1209     673     610     101
   1214     673     613     101
   1219     707     615     101
   1224     673     618     101
   1229     673     620     101
   1234     740     623     101
   1239     740     625     101
   1244     707     628     101
   1249     673     630    67,3
   1254     707     633    67,3
   1259     774     635    67,3
   1264     707     638     101
   1269     673     640     101
   1274     707     643     101
   1279     707     645    67,3
   1284     707     648    33,6
   1289     606     650    67,3
   1294     639     652     101
   1299     740     655     101
   1304     707     657     135
   1309     673     660     101
   1314     673     662    67,3
   1319     774     665    33,6
