01.01.2007   N1106
Образец: "Hf"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    2507     425     134
    839    2340     427     100
    844    2206     430    66,8
    849    2139     432    33,4
    854    2072     435    33,4
    859    2072     437    66,8
    864    2039     440    66,8
    869    2072     442     100
    874    2106     445     100
    879    2106     447     100
    884    2173     450     134
    889    2173     452     134
    894    2005     455     134
    899    1872     457     100
    904    1771     460     100
    909    1671     462     100
    914    1638     465     100
    919    1638     467     100
    924    1604     469     100
    929    1705     472     134
    934    1738     474     134
    939    1705     477     134
    944    1738     479     134
    949    1705     482     167
    954    1705     484     167
    959    1705     487     167
    964    1705     489     167
    969    1638     492     201
    974    1538     494     167
    979    1437     497     167
    984    1337     499     167
    989    1304     502     134
    994    1337     504     134
    999    1370     507     134
   1004    1304     509     100
   1009    1304     511     134
   1014    1337     514     100
   1019    1304     516     100
   1024    1237     519    66,8
   1029    1170     521    66,8
   1034    1103     524    66,8
   1039    1170     526     100
   1044    1404     529     100
   1049    1604     531     134
   1054    1604     534     134
   1059    1471     536     134
   1064    1370     538     100
   1069    1203     541     134
   1074    1136     543     134
   1079    1237     546     201
   1084    1237     548     201
   1089    1337     551     201
   1094    1471     553     201
   1099    1604     556     201
   1104    1604     558     201
   1109    1671     561     167
   1114    1538     563     167
   1119    1571     566     167
   1124    1771     568     167
   1129    2106     571     167
   1134    2373     573     167
   1139    2641     576     167
   1144    2674     578     201
   1149    2808     581     201
   1154    3008     583     234
   1159    3810     586     234
   1164    4813     588     234
   1169    5983     591     267
   1174    6451     593     234
   1179    6117     596     234
   1184    5482     598     234
   1189    4078     601     234
   1194    2808     603     201
   1199    1471     606     234
   1204    1036     608     234
   1209    1103     610     234
   1214    1237     613     234
   1219    1103     615     234
   1224     936     618     234
   1229     802     620     201
   1234     836     623     167
   1239     802     625     167
   1244     802     628     100
   1249     735     630     134
   1254     668     633     100
   1259     735     635    66,8
   1264     769     638     100
   1269     769     640     100
   1274     836     643     100
   1279     936     645     100
   1284    1003     648     100
   1289    1170     650     100
   1294    1404     652     100
   1299    2072     655     134
   1304    3677     657     100
   1309    6016     660    66,8
   1314    9693     662     134
   1319   12634     665     167
   1324   12801     667     201
   1329   10295     670     201
   1334    7855     672     167
   1339    7019     675     167
   1340    8190     675     128
   1341    8225     676     124
   1342    7933     676    99,0
   1343    7646     677     131
   1344    7704     677     126
   1345    7927     678     106
   1346    7935     678     115
   1347    8102     679     134
   1348    8384     679     131
   1349    8793     680     116
   1350    9097     680     123
   1351    9639     681     106
   1352   10073     681     127
   1353   10942     682     129
   1354   11607     682     125
   1355   13217     683     153
   1356   14425     683     160
   1357   15847     684     177
   1358   17654     684     167
   1359   19545     685     205
   1360   20926     685     175
   1361   22860     686     205
   1362   24577     686     202
   1363   26355     687     197
   1364   27760     687     248
   1365   28944     688     244
   1366   29918     688     227
   1367   30812     689     262
   1368   31154     689     262
   1369   31731     690     263
   1370   32061     690     250
   1371   31741     691     256
   1372   31730     691     245
   1373   31302     692     248
   1374   31150     692     282
   1375   30718     693     286
   1376   30108     693     292
   1377   29520     694     272
   1378   28558     694     261
   1379   27220     695     252
   1380   26326     695     230
   1381   25152     696     229
   1382   23802     696     202
   1383   22059     696     187
   1384   20194     697     163
   1385   18140     698     181
   1386   16273     698     167
   1387   14503     699     146
   1388   12678     699     146
   1389   10837     700     132
   1390    9282     700     128
   1391    7973     701     129
   1392    7025     701     130
   1393    6229     702     131
   1394    5714     702     123
   1395    5296     703     117
   1396    4818     703     140
   1397    4423     703     111
   1398    4144     704     107
   1399    3891     704     114
   1400    3499     705     129
   1404    2039     707     100
   1409    1136     709    66,8
   1414     769     712    66,8
   1419     702     714    66,8
   1424     969     717     100
   1429     969     719     134
   1434     769     722     134
   1439     735     724     134
   1444     668     727     134
   1449     602     729     100
   1454     368     732    66,8
   1459     401     734    33,4
   1464     401     737    66,8
   1469     468     739    66,8
   1474     501     742    66,8
   1479     435     744     100
   1484     435     747     134
   1489     468     749     100
   1494     535     752     100
   1499     568     754    66,8
   1504     568     757     100
   1509     635     759    66,8
   1514    1003     761    66,8
   1519    1136     764    66,8
   1524    1036     766    66,8
   1529    1237     769     100
   1534    1571     771     134
   1539    1538     774     100
   1544    1905     776     100
   1549    4846     779     100
   1550    4046     779     112
   1551    4972     780     120
   1552    6316     780     108
   1553    8105     781     130
   1554   10124     781     120
   1555   12895     782     135
   1556   15011     782     145
   1557   17449     783     158
   1558   20101     783     202
   1559   22680     784     185
   1560   25094     784     210
   1561   27094     785     221
   1562   28870     785     261
   1563   29632     786     245
   1564   31006     786     236
   1565   31363     787     273
   1566   32023     787     264
   1567   31856     788     295
   1568   31582     788     274
   1569   31813     789     282
   1570   30999     789     270
   1571   30372     790     278
   1572   29362     790     240
   1573   28233     791     238
   1574   27350     791     240
   1575   25830     792     232
   1576   24057     792     202
   1577   21977     793     175
   1578   19859     793     159
   1579   17954     794     140
   1580   15516     794     131
   1581   13172     795     124
   1582   11390     795    81,0
   1583    9304     796    99,0
   1584    7519     796    93,0
   1585    6376     797    98,0
   1586    5230     797     103
   1587    4480     798    96,0
   1588    3809     798    86,0
   1589    3170     799    77,0
   1590    2808     799    69,0
   1594    1103     801    33,4
   1599     735     804    33,4
   1604     568     806    33,4
   1609     301     809    66,8
   1614     334     811    66,8
   1619     468     813    33,4
   1624     468     816    33,4
   1629     368     818    66,8
   1634     234     821    66,8
   1639     301     823    66,8
   1644     267     826    66,8
   1649     301     828    33,4
   1654     368     831    66,8
   1659     301     833    66,8
   1664     167     836    66,8
   1669     201     838    66,8
   1674     234     841    66,8
   1679     167     843    66,8
   1684     167     846    66,8
   1689     267     848    66,8
   1694     201     851    66,8
   1699     167     853    33,4
   1704     201     856    33,4
   1709     134     858    66,8
   1714     100     861    66,8
   1719     201     863    66,8
   1724     234     866    66,8
   1729     167     868    66,8
   1734     201     870    66,8
   1739     201     873    66,8
   1744     167     875    66,8
   1749     301     878    33,4
   1754     334     880    33,4
   1759     468     883    66,8
   1764     568     885    66,8
   1769     802     888    66,8
   1774     969     890    66,8
   1779     969     893    33,4
   1784     769     895    33,4
   1789     535     898    33,4
   1794     301     900    33,4
   1799     201     903    33,4
   1804     201     905    33,4
   1809     167     908    66,8
   1814     267     910    33,4
   1819     201     913    33,4
   1824    66,8     915    33,4
   1829     234     918    66,8
   1834     167     920    66,8
   1839     134     923    66,8
   1844     100     925    66,8
   1849     134     928    33,4
   1854     167     930    33,4
   1859     134     933    66,8
   1864     134     935    33,4
   1869     134     937    33,4
   1874     134     940    66,8
   1879     201     942    33,4
   1884     134     945     0,0
   1889     201     947    33,4
   1894     100     950    33,4
   1899     100     952    33,4
   1904    66,8     955    33,4
   1909     201     957    33,4
   1914     167     960    33,4
   1919     167     962    33,4
   1924     435     965    66,8
   1929     635     967     100
   1934     535     970    66,8
   1939     501     972     0,0
   1944     501     975    33,4
   1949     368     977    33,4
   1954     301     980    33,4
   1959     134     982     0,0
   1964    66,8     985    66,8
   1969    66,8     987    66,8
   1974    66,8     990    33,4
   1979     100     992    66,8
   1984    33,4     995    33,4
   1989    33,4     997    66,8
   1994     134    1000    33,4
   1999    33,4    1002     0,0
   2004    66,8    1005    33,4
   2009     134    1007    66,8
   2014     100    1010    66,8
   2019     100    1012     0,0
   2024    66,8    1015    33,4
   2029    66,8    1017    66,8
   2034     167    1020    33,4
   2039     134    1022     0,0
   2044    66,8    1025    33,4
   2049     134    1027    33,4
   2054     134    1030    66,8
   2059     100    1032    66,8
   2064    33,4    1034    33,4
   2069     100    1037     0,0
   2074     100    1039     0,0
   2079    66,8    1042    33,4
   2084    33,4    1044    33,4
   2089    33,4    1047     0,0
   2094     134    1049    33,4
   2099     100    1052    33,4
   2104     100    1054     0,0
   2109     100    1057     0,0
   2114     100    1059    66,8
   2119     100    1062    33,4
   2124     100    1064    66,8
   2129     100    1067    33,4
   2134     100    1069    33,4
   2139     134    1072    33,4
   2144    33,4    1074    33,4
   2149    33,4    1077    33,4
   2154     134    1079     0,0
   2159    66,8    1082     0,0
   2164    33,4    1084    33,4
   2169     134    1087    33,4
   2174     100    1089    33,4
   2179    33,4    1092     0,0
   2184    66,8    1094    33,4
   2189    66,8    1097    33,4
   2194     0,0    1099    33,4
   2199    66,8    1102    33,4
   2204    66,8    1104    33,4
   2209     100    1107    33,4
   2214    66,8    1109    66,8
   2219    66,8    1112    33,4
   2224     134    1114     0,0
   2229    66,8    1117    33,4
   2234     100    1119    33,4
   2239    33,4    1122    33,4
   2244    66,8    1124     0,0
   2249    66,8    1127    33,4
   2254    33,4    1129     0,0
   2259     100    1131    33,4
   2264    33,4    1134    66,8
   2269     134    1136     134
   2274    33,4    1139    66,8
   2279     100    1141    66,8
   2284     100    1144    66,8
   2289    33,4    1146    33,4
   2294    66,8    1149     0,0
   2299     100    1151     0,0
   2304    33,4    1154    33,4
   2309    66,8    1156    33,4
   2314     0,0    1159    33,4
   2319    33,4    1161     0,0
   2324    33,4    1164    33,4
   2329    33,4    1166     0,0
   2334    66,8    1169    33,4
   2339    33,4    1171    66,8
   2344    33,4    1174     267
   2349    66,8    1176     267
   2354     134    1179     301
   2359    66,8    1181     201
   2364     100    1184     100
   2369     0,0    1186    33,4
   2374    66,8    1189     0,0
   2379    33,4    1191     0,0
   2384    33,4    1194    33,4
   2389     100    1196    33,4
   2394    66,8    1199    33,4
   2399     100    1201    33,4
   2404    33,4    1204    33,4
   2409     0,0    1206    33,4
   2414    66,8    1209     0,0
   2419     0,0    1211    66,8
   2424    33,4    1214     0,0
   2429    33,4    1216     0,0
   2434    66,8    1218     0,0
   2439    66,8    1221    33,4
   2444     100    1223    33,4
   2449    33,4    1226     0,0
   2454     0,0    1229    33,4
   2459    66,8    1231     0,0
   2464    33,4    1234    33,4
   2469    66,8    1236     0,0
   2474    33,4    1238    33,4
   2479    33,4    1241     0,0
   2484    33,4    1243    33,4
   2489    33,4    1246     0,0
   2494    66,8    1248    33,4
   2499     0,0    1251    33,4
   2504    33,4    1253     0,0
   2509     0,0    1256    33,4
   2514     100    1258    33,4
   2519     0,0    1261    33,4
   2524    33,4    1263     0,0
   2529    66,8    1266    66,8
   2534    66,8    1268     0,0
   2539    33,4    1271    33,4
   2544    66,8    1273     0,0
   2549    33,4    1276    33,4
   2554    66,8    1278    33,4
   2559    33,4    1281    33,4
   2564    33,4    1283    33,4
   2569    33,4    1286    33,4
   2574    33,4    1288    33,4
   2579    66,8    1291     0,0
   2584    66,8    1293    33,4
   2589     0,0    1296     100
   2594     0,0    1298    33,4
   2599     100    1301    66,8
   2604    66,8    1303    66,8
   2609     0,0    1306     0,0
   2614    33,4    1308     0,0
   2619    33,4    1311    33,4
   2624    66,8    1313    33,4
   2629    66,8    1316    33,4
   2634     0,0    1318    66,8
   2639     100    1321     100
   2644    66,8    1323     435
   2649     0,0    1326     501
   2654    66,8    1328     301
   2659    66,8    1331     201
   2664    33,4    1333     0,0
   2669    33,4    1336     0,0
   2674    33,4    1338     0,0
   2679     0,0    1340    66,8
   2684     0,0    1343    33,4
   2689    33,4    1345     100
   2694     0,0    1348     0,0
   2699    33,4    1351     201
   2704    33,4    1353     134
   2709    33,4    1356     167
   2714    33,4    1358    33,4
   2719    33,4    1360     0,0
   2724    33,4    1363    33,4
   2729    66,8    1365     134
   2734    66,8    1368     267
   2739    66,8    1370    1103
   2744    66,8    1373    1304
   2749    33,4    1375     769
   2754    33,4    1378     334
   2759    33,4    1380     100
   2764    33,4    1383    33,4
   2769     0,0    1385     134
   2774    33,4    1388     100
   2779    33,4    1390    66,8
   2784    33,4    1393     267
   2789     0,0    1395    33,4
   2794     0,0    1398    33,4
   2799    66,8    1400    66,8
   2804     0,0    1403     0,0
   2809    33,4    1405     0,0
   2814    66,8    1408     0,0
   2819    66,8    1410     0,0
   2824    66,8    1413    33,4
   2829     0,0    1415    33,4
   2834     0,0    1418    33,4
   2839     0,0    1420     0,0
   2844    33,4    1422    66,8
   2849     0,0    1425    33,4
   2854     0,0    1427    66,8
   2859     0,0    1430     0,0
   2864    33,4    1432     0,0
   2869     0,0    1435    33,4
   2874    33,4    1437     0,0
   2879     0,0    1440     0,0
   2884    33,4    1442    66,8
   2889    33,4    1445    33,4
   2894    33,4    1447     0,0
   2899     0,0    1450    33,4
   2904    33,4    1452    33,4
   2909     0,0    1455     0,0
   2914     100    1457    66,8
   2919    66,8    1460    33,4
   2924     0,0    1462    33,4
   2929     0,0    1465    33,4
   2934     0,0    1467    33,4
   2939     0,0    1470     0,0
   2944     0,0    1472     0,0
   2949    33,4    1475    33,4
   2954     0,0    1477    33,4
   2959     0,0    1480     0,0
   2964    33,4    1482     0,0
   2969     0,0    1485    33,4
   2974     0,0    1487     0,0
   2979     0,0    1490    66,8
   2984     0,0    1492     0,0
   2989     0,0    1495     0,0
   2994    33,4    1498     0,0
   2999     0,0    1500     0,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
   3019     0,0    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520    66,8
   3044     0,0    1522     0,0
   3049     0,0    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533    66,8
   3069     0,0    1535    66,8
   3074     0,0    1538     0,0
   3079     0,0    1540    66,8
   3084    33,4    1543    66,8
   3089     0,0    1545    33,4
   3094     0,0    1548    33,4
   3099     0,0    1550    66,8
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
