01.01.2007   N1106
Образец: "Hg"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    9441     425     134
    839    9441     427     202
    844    9810     430     202
    849    9172     432     168
    854    8668     435     168
    859    8433     437     168
    864    8668     440     168
    869    8970     442     202
    874    9676     445     202
    879   10482     447     168
    884   10180     450     202
    889    9810     452     202
    894    9710     455     202
    899    9441     457     202
    904    9441     460     202
    909    9676     462     202
    914    9474     465     202
    919    9138     467     202
    924    8702     469     235
    929    8265     472     235
    934    7828     474     269
    939    7963     477     302
    944    7862     479     302
    949    7727     482     302
    954    7660     484     302
    959    7694     487     302
    964    7627     489     302
    969    7526     492     302
    974    7694     494     302
    979    7694     497     336
    984    7694     499     336
    989    7660     502     370
    994    7727     504     370
    999    7929     507     370
   1004    8231     509     370
   1009    8735     511     336
   1014    9575     514     370
   1019   10415     516     370
   1024   11356     519     370
   1029   12565     521     403
   1034   13876     524     437
   1039   15287     526     470
   1044   15992     529     504
   1049   15791     531     470
   1054   14413     534     470
   1059   12465     536     437
   1064   10247     538     437
   1069    8534     541     437
   1074    7425     543     403
   1079    6887     546     403
   1084    6518     548     403
   1089    6115     551     437
   1094    6014     553     403
   1099    5980     556     437
   1104    6047     558     470
   1109    5779     561     538
   1114    5577     563     538
   1119    5409     566     571
   1124    5308     568     571
   1129    5376     571     571
   1134    5140     573     538
   1139    5040     576     538
   1144    5006     578     571
   1149    5073     581     605
   1154    5409     583     638
   1159    5275     586     739
   1164    5208     588     840
   1169    4972     591     874
   1174    4838     593     974
   1179    5040     596     974
   1184    4804     598     974
   1189    4804     601     941
   1194    4737     603     874
   1199    4670     606     806
   1204    4670     608     806
   1209    4468     610     773
   1214    4972     613     739
   1219    5745     615     672
   1224    6753     618     605
   1229    7895     620     571
   1230    8283     621     574
   1231    8589     621     511
   1232    9032     622     528
   1233    9430     622     533
   1234    9756     623     493
   1235   10035     623     526
   1236   10492     624     502
   1237   10562     624     500
   1238   10659     625     474
   1239   10814     625     465
   1240   10846     626     459
   1241   10947     626     460
   1242   11031     627     463
   1243   10888     627     493
   1244   10948     628     449
   1245   10765     628     491
   1246   10600     629     380
   1247   10345     629     478
   1248   10267     630     481
   1249    9982     630     468
   1250    9728     631     447
   1254    6988     633     470
   1259    4838     635     403
   1264    3796     638     336
   1269    3561     640     302
   1274    3293     643     336
   1279    3360     645     370
   1284    3796     648     403
   1289    3696     650     437
   1294    3293     652     403
   1299    3125     655     302
   1304    3091     657     269
   1309    2957     660     336
   1314    2822     662     336
   1319    2822     665     370
   1324    2688     667     403
   1329    2453     670     370
   1334    2217     672     370
   1339    2352     675     336
   1344    2385     677     370
   1349    2318     680     336
   1354    2251     682     370
   1359    2251     685     336
   1364    2285     687     302
   1369    2184     690     302
   1374    2352     692     302
   1379    2318     695     336
   1384    2486     697     403
   1389    2318     700     437
   1394    2419     702     403
   1399    2251     704     403
   1404    2251     707     403
   1409    2419     709     403
   1414    2385     712     403
   1419    2217     714     370
   1424    2251     717     336
   1429    2520     719     336
   1434    2251     722     370
   1439    2184     724     403
   1444    2016     727     336
   1449    1881     729     269
   1454    1646     732     202
   1459    1814     734     235
   1464    1814     737     302
   1469    1747     739     403
   1474    1713     742     437
   1479    1747     744     437
   1484    1613     747     403
   1489    1680     749     370
   1494    1445     752     336
   1499    1344     754     302
   1504    1377     757     302
   1509    1377     759     336
   1514    1109     761     370
   1519    1243     764     370
   1524    1781     766     336
   1529    2453     769     302
   1534    2721     771     269
   1539    3057     774     235
   1544    2923     776     235
   1549    2419     779     269
   1554    2184     781     302
   1559    2016     784     336
   1564    1915     786     302
   1569    2117     789     336
   1574    2184     791     302
   1579    1915     794     336
   1584    1646     796     403
