01.01.2007   N1106
Образец: "Ho"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1306     425    33,5
    839    1306     427    67,0
    844    1339     430    67,0
    849    1239     432    67,0
    854    1105     435    67,0
    859    1004     437    33,5
    864     937     440    33,5
    869     870     442    67,0
    874     837     445    33,5
    879     837     447    33,5
    884     770     450    33,5
    889     737     452    33,5
    894     737     455    33,5
    899     636     457    33,5
    904     603     460    33,5
    909     569     462    33,5
    914     536     465    33,5
    919     670     467    67,0
    924     703     469    67,0
    929     670     472     100
    934     670     474     100
    939     603     477     100
    944     569     479     100
    949     536     482     100
    954     636     484     100
    959     670     487    67,0
    964     670     489     100
    969     636     492     100
    974     636     494     134
    979     703     497     134
    984     703     499     100
    989     703     502     100
    994     703     504    67,0
    999     569     507    67,0
   1004     569     509    67,0
   1009     603     511     100
   1014     603     514     100
   1019     636     516     100
   1024     703     519     100
   1029     737     521    67,0
   1034     737     524    67,0
   1039     603     526    33,5
   1044     569     529    33,5
   1049     536     531    67,0
   1054     603     534    67,0
   1059     603     536    67,0
   1064     603     538     100
   1069     502     541     100
   1074     435     543     100
   1079     469     546    67,0
   1084     469     548    67,0
   1089     469     551    67,0
   1094     536     553    67,0
   1099     502     556     100
   1104     435     558     100
   1109     402     561     100
   1114     435     563     100
   1119     469     566     100
   1124     469     568    67,0
   1129     402     571    67,0
   1134     402     573    67,0
   1139     368     576    33,5
   1144     402     578    33,5
   1149     368     581    67,0
   1154     402     583     100
   1159     536     586     134
   1164     536     588     134
   1169     536     591     134
   1174     469     593     134
   1179     435     596     134
   1184     402     598     100
   1189     368     601     134
   1194     368     603     134
   1199     368     606     100
   1204     335     608     100
   1209     335     610    67,0
   1214     301     613    67,0
   1219     301     615    67,0
   1224     268     618    67,0
   1229     234     620    67,0
   1234     268     623    67,0
   1239     301     625    67,0
   1244     301     628    67,0
   1249     301     630    67,0
   1254     268     633    33,5
   1259     335     635    33,5
   1264     335     638    33,5
   1269     335     640    33,5
   1274     368     643    33,5
   1279     402     645    33,5
   1284     402     648    33,5
   1289     402     650    33,5
   1294     335     652    33,5
   1299     301     655    33,5
   1304     335     657     0,0
   1309     268     660    33,5
   1314     234     662    67,0
   1319     234     665    67,0
   1324     368     667    33,5
   1329     335     670    33,5
   1334     301     672    33,5
   1339     368     675    33,5
   1344     368     677    33,5
   1349     268     680    33,5
   1354     268     682    33,5
   1359     502     685    33,5
   1364     636     687    33,5
   1369     670     690    33,5
   1374     636     692    33,5
   1379     536     695    33,5
   1384     368     697    33,5
   1389     301     700     0,0
   1394     335     702     0,0
   1399     368     704    33,5
   1404     569     707    33,5
   1409     804     709    33,5
   1414    1071     712    33,5
   1419    1507     714    33,5
   1424    1841     717    33,5
   1429    1641     719    33,5
   1434    1272     722    67,0
   1439    1038     724    67,0
   1444     703     727    67,0
   1449     435     729    33,5
   1454     335     732    67,0
   1459     234     734    67,0
   1464     134     737    67,0
   1469     167     739    67,0
   1474     201     742    33,5
   1479     167     744    33,5
   1484     134     747    33,5
   1489     134     749    33,5
   1494     134     752    33,5
   1499     167     754    33,5
   1504     201     757    33,5
   1509     268     759    33,5
   1514     201     761     0,0
   1519     167     764    33,5
   1524     201     766    67,0
   1529     335     769    33,5
   1534     368     771    33,5
   1539     469     774    33,5
   1544     603     776    33,5
   1549     737     779     0,0
   1554     971     781    33,5
   1559    1607     784    33,5
   1564    2611     786    33,5
   1569    3013     789    33,5
   1574    2645     791    33,5
   1579    1774     794     0,0
   1584     937     796     0,0
   1589     670     799     0,0
   1594     703     801     0,0
   1599     569     804    33,5
   1604     636     806    33,5
   1609     971     809     0,0
   1610     797     809    27,0
   1611     830     810    25,0
   1612     907     810    30,0
   1613    1013     811    18,0
   1614    1026     811    29,0
   1615    1122     812    39,0
   1616    1221     812    20,0
   1617    1283     812    32,0
   1618    1287     813    37,0
   1619    1367     813    20,0
   1620    1484     814    26,0
   1621    1538     814    31,0
   1622    1540     815    28,0
   1623    1490     815    23,0
   1624    1556     816    34,0
   1625    1608     816    34,0
   1626    1694     817    35,0
   1627    1631     817    33,0
   1628    1621     818    49,0
   1629    1759     818    45,0
   1630    1756     819    45,0
   1631    1780     819    59,0
   1632    1924     820    51,0
   1633    2027     820    66,0
   1634    2214     821    51,0
   1635    2431     821    56,0
   1636    2714     822    58,0
   1637    2897     822    75,0
   1638    3146     823    70,0
   1639    3518     823    72,0
   1640    3783     824    57,0
   1641    4182     824    87,0
   1642    4391     825    68,0
   1643    4911     825    98,0
   1644    5269     826    99,0
   1645    5518     826     100
   1646    5750     827     116
   1647    5993     827    99,0
   1648    6235     828    99,0
   1649    6433     828     111
   1650    6499     829     121
   1651    6441     829     114
   1652    6463     830     108
   1653    6496     830     102
   1654    6220     831     129
   1655    5916     831     109
   1656    5639     832     117
   1657    5263     832     116
   1658    4819     833     106
   1659    4397     833    98,0
   1660    3678     834     109
   1661    3284     834     108
   1662    2828     835     109
   1663    2515     835     101
   1664    2188     836    85,0
   1665    1904     836    81,0
   1666    1673     837    70,0
   1667    1426     837    78,0
   1668    1265     838    62,0
   1669    1115     838    79,0
   1670     897     839    78,0
   1674     469     841    33,5
   1679     167     843    33,5
   1684     100     846    33,5
   1689     100     848     0,0
   1694     134     851     0,0
   1699     134     853     0,0
   1704     134     856     0,0
   1709     167     858     0,0
   1714     134     861    33,5
   1719    33,5     863     0,0
   1724     100     866    33,5
   1729     167     868     0,0
   1734    67,0     870     0,0
   1739    67,0     873     0,0
   1744     134     875     0,0
   1749     134     878     0,0
   1754     167     880    33,5
   1759     201     883    33,5
   1764     134     885     0,0
   1769     100     888     0,0
   1774     201     890     0,0
   1779     469     893     0,0
   1784     636     895     0,0
   1789     435     898    33,5
   1794     502     900    33,5
   1799     368     903    33,5
   1804     134     905    33,5
   1809     167     908    33,5
   1810     153     908    19,0
   1811     174     909    13,0
   1812     158     909    12,0
   1813     156     910    21,0
   1814     160     910    18,0
   1815     161     911    14,0
   1816     175     911    18,0
   1817     192     912    17,0
   1818     188     912    21,0
   1819     227     913    21,0
   1820     223     913    14,0
   1821     227     914    24,0
   1822     238     914    21,0
   1823     243     915    18,0
   1824     287     915    16,0
   1825     313     916    17,0
   1826     355     916    13,0
   1827     389     917    16,0
   1828     484     917    22,0
   1829     597     918    15,0
   1830     821     918     8,0
   1831     996     919    18,0
   1832    1258     919    24,0
   1833    1679     920    11,0
   1834    2022     920    15,0
   1835    2310     921    16,0
   1836    2748     921    17,0
   1837    3122     922    18,0
   1838    3640     922    12,0
   1839    3852     923    22,0
   1840    4427     923    14,0
   1841    4822     924    25,0
   1842    5202     924    16,0
   1843    5570     925    19,0
   1844    5943     925    21,0
   1845    6108     926    27,0
   1846    6327     926    23,0
   1847    6543     927    25,0
   1848    6673     927    28,0
   1849    6548     928    24,0
   1850    6651     928    28,0
   1851    6511     929    25,0
   1852    6121     929    23,0
   1853    5787     930    19,0
   1854    5349     930    24,0
   1855    4673     931    23,0
   1856    4120     931    19,0
   1857    3587     932    10,0
   1858    3095     932    25,0
   1859    2671     933    16,0
   1860    2292     933    12,0
   1861    1989     934    12,0
   1862    1674     934    21,0
   1863    1502     935    19,0
   1864    1224     935    12,0
   1865    1034     936    15,0
   1866     883     936    14,0
   1867     760     937    16,0
   1868     612     937    23,0
   1869     520     937    15,0
   1870     377     938    17,0
   1874     234     940     0,0
   1879     167     942     0,0
   1884     134     945     0,0
   1889     100     947    33,5
   1894    67,0     950    33,5
   1899    67,0     952    33,5
   1904     100     955    67,0
   1909     134     957    33,5
   1914    67,0     960     0,0
   1919     134     962    33,5
   1924    33,5     965     0,0
   1929     167     967     0,0
   1934     234     970     0,0
   1939     201     972     0,0
   1944     100     975    33,5
   1949    33,5     977    33,5
   1954    33,5     980    67,0
   1959    33,5     982    33,5
   1964    33,5     985     0,0
   1969    67,0     987     0,0
   1974     0,0     990    33,5
   1979    33,5     992    33,5
   1984    33,5     995     0,0
   1989     0,0     997     0,0
   1994    33,5    1000     0,0
   1999     100    1002     0,0
   2004    67,0    1005     0,0
   2009    67,0    1007     0,0
   2014    33,5    1010     0,0
   2019     0,0    1012     0,0
   2024    33,5    1015     0,0
   2029    67,0    1017     0,0
   2034    33,5    1020    33,5
   2039    33,5    1022    33,5
   2044    33,5    1025     0,0
   2049     167    1027    33,5
   2054    67,0    1030    33,5
   2059    33,5    1032     0,0
   2064    67,0    1034     0,0
   2069    33,5    1037     0,0
   2074    33,5    1039     0,0
   2079    67,0    1042    33,5
   2084     167    1044     0,0
   2089     234    1047    33,5
   2094     201    1049    33,5
   2099     100    1052     0,0
   2104    33,5    1054     0,0
   2109     0,0    1057     0,0
   2114     0,0    1059     0,0
   2119     100    1062     0,0
   2124    33,5    1064    33,5
   2129    33,5    1067     0,0
   2134    67,0    1069     0,0
   2139    33,5    1072     0,0
   2144    33,5    1074     0,0
   2149    33,5    1077     0,0
   2154     0,0    1079     0,0
   2159    67,0    1082     0,0
   2164    33,5    1084     0,0
   2169    33,5    1087     0,0
   2174     0,0    1089     0,0
   2179    33,5    1092    33,5
   2184    33,5    1094     0,0
   2189    33,5    1097    33,5
   2194    67,0    1099     0,0
   2199    33,5    1102     0,0
   2204     100    1104     0,0
   2209     0,0    1107     0,0
   2214    33,5    1109     0,0
   2219    33,5    1112     0,0
   2224    33,5    1114     0,0
   2229    33,5    1117     0,0
   2234     0,0    1119     0,0
   2239    67,0    1122     0,0
   2244     0,0    1124    33,5
   2249     0,0    1127    33,5
   2254     0,0    1129     0,0
   2259    33,5    1131     0,0
   2264    33,5    1134     0,0
   2269    33,5    1136     0,0
   2274    33,5    1139     0,0
   2279     0,0    1141     0,0
   2284    33,5    1144     0,0
   2289    67,0    1146     0,0
   2294     0,0    1149     0,0
   2299    33,5    1151     0,0
   2304    67,0    1154     0,0
   2309     0,0    1156     0,0
   2314     0,0    1159     0,0
   2319     0,0    1161     0,0
   2324     0,0    1164    33,5
   2329    33,5    1166    33,5
   2334     0,0    1169    33,5
   2339    33,5    1171     0,0
   2344    33,5    1174     0,0
   2349     0,0    1176    33,5
   2354    33,5    1179     0,0
   2359     0,0    1181     0,0
   2364    33,5    1184     0,0
   2369    33,5    1186     0,0
   2374    33,5    1189    33,5
   2379     0,0    1191     0,0
   2384    33,5    1194     0,0
   2389    33,5    1196     0,0
   2394     0,0    1199     0,0
   2399     0,0    1201     0,0
   2404    33,5    1204     0,0
   2409     0,0    1206     0,0
   2414    33,5    1209     0,0
   2419    33,5    1211     0,0
   2424    67,0    1214     0,0
   2429    33,5    1216     0,0
   2434    33,5    1218    33,5
   2439     0,0    1221     0,0
   2444    33,5    1223     0,0
   2449     0,0    1226     0,0
   2454     0,0    1229     0,0
   2459    33,5    1231     0,0
   2464     0,0    1234     0,0
   2469    33,5    1236     0,0
   2474     0,0    1238    33,5
   2479     0,0    1241     0,0
   2484     0,0    1243     0,0
   2489     134    1246     0,0
   2494    67,0    1248    33,5
   2499     0,0    1251     0,0
   2504     0,0    1253     0,0
   2509     0,0    1256     0,0
   2514    67,0    1258     0,0
   2519     0,0    1261     0,0
   2524     0,0    1263     0,0
   2529     0,0    1266     0,0
   2534     0,0    1268     0,0
   2539    33,5    1271    33,5
   2544     0,0    1273     0,0
   2549     0,0    1276    33,5
   2554     0,0    1278    33,5
   2559    33,5    1281     0,0
   2564     0,0    1283     0,0
   2569     0,0    1286     0,0
   2574    33,5    1288     0,0
   2579     0,0    1291     0,0
   2584    33,5    1293     0,0
   2589    33,5    1296    33,5
   2594    33,5    1298    33,5
   2599     0,0    1301     0,0
   2604    33,5    1303     0,0
   2609     0,0    1306     0,0
   2614     0,0    1308     0,0
   2619     0,0    1311     0,0
   2624    33,5    1313     0,0
   2629     0,0    1316     0,0
   2634     0,0    1318     0,0
   2639     0,0    1321     0,0
   2644     0,0    1323     0,0
   2649     0,0    1326     0,0
   2654     0,0    1328     0,0
   2659     0,0    1331     0,0
   2664    33,5    1333    33,5
   2669     0,0    1336     0,0
   2674    33,5    1338     0,0
   2679     0,0    1340     0,0
   2684     0,0    1343    33,5
   2689     0,0    1345     0,0
   2694     0,0    1348     0,0
   2699     0,0    1351     0,0
   2704     0,0    1353    33,5
   2709    33,5    1356     0,0
   2714     0,0    1358     0,0
   2719     0,0    1360     0,0
   2724     0,0    1363     0,0
   2729     0,0    1365    33,5
   2734     0,0    1368    67,0
   2739     0,0    1370     0,0
   2744     0,0    1373     0,0
   2749    33,5    1375    33,5
   2754     0,0    1378     0,0
   2759    33,5    1380     0,0
   2764    33,5    1383    33,5
   2769     0,0    1385     0,0
   2774     0,0    1388     0,0
   2779     0,0    1390     0,0
   2784     0,0    1393     0,0
   2789     0,0    1395     0,0
   2794     0,0    1398     0,0
   2799     0,0    1400    33,5
   2804     0,0    1403     0,0
   2809     0,0    1405     0,0
   2814     0,0    1408     0,0
   2819    33,5    1410     0,0
   2824     0,0    1413     0,0
   2829    33,5    1415     100
   2834    33,5    1418    67,0
   2839     0,0    1420    33,5
   2844    33,5    1422     0,0
   2849     0,0    1425     0,0
   2854     0,0    1427    33,5
   2859     0,0    1430     0,0
   2864     0,0    1432     0,0
   2869     0,0    1435     0,0
   2874     0,0    1437     0,0
   2879    33,5    1440    33,5
   2884     0,0    1442     0,0
   2889    33,5    1445     0,0
   2894     0,0    1447     0,0
   2899    33,5    1450     0,0
   2904     0,0    1452     0,0
   2909    33,5    1455     0,0
   2914    33,5    1457     0,0
   2919     0,0    1460     0,0
   2924     0,0    1462     0,0
   2929     0,0    1465    33,5
   2934     0,0    1467     0,0
   2939     0,0    1470     0,0
   2944     0,0    1472    33,5
   2949     0,0    1475     0,0
   2954     0,0    1477    33,5
   2959     0,0    1480     0,0
   2964     0,0    1482     0,0
   2969     0,0    1485     0,0
   2974     0,0    1487     0,0
   2979     0,0    1490     0,0
   2984     0,0    1492     0,0
   2989     0,0    1495    33,5
   2994     0,0    1498     0,0
   2999     0,0    1500     0,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
