01.01.2007   N1106
Образец: "In"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1782     425     135
    839    2220     427     303
    844    2287     430     437
    844    2368     430     474
    846    2364     431     479
    848    2361     432     455
    851    2258     433     512
    853    2301     434     489
    854    2357     435     553
    856    2270     436     584
    859    2312     437     525
    861    2240     438     566
    862    2418     439     603
    865    2359     440     667
    867    2391     441     664
    869    2226     442     809
    871    2259     443     831
    873    2192     444     809
    875    2151     445     820
    877    2154     446     854
    879    2203     447     859
    881    2203     448     815
    883    2091     449     890
    885    2139     450     809
    887    2149     451     876
    889    2181     452     894
    891    2156     453     857
    893    2090     454     882
    895    2151     455     921
    897    2091     456     938
    899    2140     457     836
    901    1984     458     928
    903    2080     459     940
    905    2101     460     903
    907    1984     461     828
    909    2006     462     829
    911    1917     463     777
    913    1958     464     756
    915    1888     465     676
    917    1946     466     692
    919    1992     467     637
    921    1917     468     616
    923    1933     469     605
    925    1939     470     556
    927    1921     471     495
    929    1917     472     480
    931    1847     473     477
    933    1852     474     452
    935    1833     475     430
    937    1902     476     420
    939    1919     477     479
    941    1860     478     476
    943    1858     479     433
    945    1886     480     450
    947    1880     481     519
    949    1899     482     598
    951    1852     483     632
    953    1854     484     685
    955    1909     485     789
    957    1942     486     855
    959    2074     487    1020
    961    1954     488    1108
    963    1965     489    1314
    966    2054     490    1401
    967    2007     491    1543
    969    2023     492    1700
    971    2043     493    1872
    974    2089     494    2063
    976    2189     495    2156
    977    2276     496    2298
    980    2258     497    2601
    982    2259     498    2584
    984    2375     499    2816
    986    2346     500    2851
    988    2438     501    3000
    990    2426     502    3084
    992    2499     503    3365
    994    2321     504    3533
    996    2370     505    3716
    998    2422     506    3789
   1000    2426     507    4092
   1002    2373     508    4136
   1004    2350     509    4239
   1006    2524     510    4316
   1008    2454     511    4447
   1010    2391     512    4432
   1012    2546     513    4522
   1014    2645     514    4493
   1016    2512     515    4608
   1018    2539     516    4544
   1020    2460     517    4412
   1022    2435     518    4306
   1024    2356     519    4160
   1027    2280     520    3988
   1028    2167     521    3927
   1030    2184     522    3667
   1032    2042     523    3517
   1035    2121     524    3001
   1037    1982     525    2686
   1039    1842     526    2422
   1041    1815     527    2101
   1043    1727     528    1742
   1045    1603     529    1518
   1047    1516     530    1183
   1049    1459     531    1021
   1051    1460     532     854
   1053    1292     533     721
