01.01.2007   N1106
Образец: "La"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1947     425    33,6
    839    2585     427     101
    844    2552     430     101
    849    2182     432     101
    854    1914     435     101
    859    1679     437     101
    864    1779     440     101
    869    2014     442    67,1
    874    2283     445    67,1
    879    2350     447    67,1
    884    2350     450    67,1
    889    2115     452    67,1
    894    2216     455    67,1
    899    2216     457     101
    904    2115     460     101
    909    2048     462     101
    914    2082     465     101
    919    2048     467     134
    924    2014     469     134
    929    1981     472     134
    934    1981     474     134
    939    1880     477     168
    944    1947     479     168
    949    1847     482     168
    954    1779     484     168
    959    1712     487     168
    964    1679     489     168
    969    1712     492     201
    974    1612     494     235
    979    1645     497     235
    984    1712     499     235
    989    1779     502     235
    994    1779     504     235
    999    1813     507     201
   1004    1746     509     168
   1009    1612     511     168
   1014    1511     514     134
   1019    1544     516     134
   1024    1511     519     134
   1029    1645     521     101
   1034    1578     524     101
   1039    1444     526     134
   1044    1477     529     168
   1049    1544     531     134
   1054    1410     534     168
   1059    1444     536     201
   1064    1410     538     235
   1069    1410     541     235
   1074    1410     543     201
   1079    1444     546     269
   1084    1309     548     269
   1089    1377     551     302
   1094    1209     553     269
   1099    1074     556     302
   1104    1074     558     269
   1109    1074     561     302
   1114    1041     563     269
   1119    1041     566     302
   1124     940     568     302
   1129     974     571     302
   1134    1108     573     269
   1139    1175     576     235
   1144    1142     578     235
   1149    1209     581     235
   1154    1209     583     201
   1159    1209     586     201
   1164    1142     588     168
   1169    1309     591     134
   1174    1410     593     168
   1179    1309     596     201
   1184    1209     598     235
   1189    1007     601     269
   1194    1108     603     235
   1199    1108     606     201
   1204     940     608     168
   1209     906     610     168
   1214     873     613     168
   1219     839     615     201
   1224     806     618     201
   1229     739     620     168
   1234     638     623     134
   1239     705     625     101
   1244     772     628     134
   1249     739     630     134
   1254     638     633     134
   1259     638     635     134
   1264     638     638     134
   1269     705     640     134
   1274     705     643     101
   1279     638     645     101
   1284     638     648     134
   1289     739     650     134
   1294     772     652     134
   1299     604     655     101
   1304     504     657     134
   1309     537     660     101
   1314     638     662     134
   1319     772     665     134
   1324     906     667     134
   1329     772     670     134
   1334     671     672     101
   1339     671     675     134
   1344     772     677     134
   1349     638     680     134
   1354     537     682     101
   1359     537     685     101
   1364     436     687    67,1
   1369     470     690    67,1
   1374     638     692    67,1
   1379     705     695    33,6
   1384     671     697    67,1
   1389     671     700     134
   1394     604     702     134
   1399     537     704     134
   1404     537     707     101
   1409     436     709    67,1
   1414     369     712    67,1
   1419     436     714    67,1
   1424     470     717     134
   1429     504     719     134
   1434     504     722     168
   1439     537     724     168
   1444     403     727     134
   1449     369     729     101
   1454     369     732    67,1
   1459     369     734     101
   1464     336     737     134
   1469     336     739     134
   1474     302     742     134
   1479     235     744     101
   1484     269     747     101
   1489     269     749     134
   1494     269     752     168
   1499     302     754     168
   1504     302     757     101
   1509     302     759    67,1
   1514     369     761    67,1
   1519     403     764    67,1
   1524     436     766     101
   1529     739     769    67,1
   1534    1007     771    67,1
   1539    1007     774     101
   1544     839     776     101
   1549     638     779     101
   1554     504     781    67,1
   1559     336     784    67,1
   1564     235     786    67,1
   1569     168     789    67,1
   1574     201     791    67,1
   1579     302     794     101
   1584     269     796     101
   1589     269     799    67,1
   1594     168     801     101
   1599     101     804    67,1
   1604     134     806     101
   1609     134     809    67,1
   1614     101     811    67,1
   1619     168     813    67,1
   1624     269     816    67,1
   1629     235     818    67,1
   1634     168     821    67,1
   1639     168     823     134
   1644     168     826     101
   1649     134     828     101
   1654     134     831     101
   1659     201     833     101
   1664     235     836     101
   1669     168     838     101
   1674     168     841     101
   1679     168     843    67,1
   1684     168     846    33,6
   1689     168     848     0,0
   1694    67,1     851    67,1
   1699    67,1     853     101
   1704    67,1     856     101
   1709    67,1     858     134
   1714     101     861     168
   1719     235     863     134
   1724     168     866     101
   1729     235     868     101
   1734     134     870     101
   1739    33,6     873     101
   1744    67,1     875    67,1
   1749    67,1     878    67,1
   1754     134     880    67,1
   1759    67,1     883    67,1
   1764    67,1     885    33,6
   1769     134     888    33,6
   1774     134     890    33,6
   1779    67,1     893    33,6
   1784     134     895    33,6
   1789     168     898    33,6
   1794     101     900    33,6
   1799     101     903    33,6
   1804     134     905     101
   1809     134     908     101
   1814     101     910    67,1
   1819     101     913    33,6
   1824    67,1     915    67,1
   1829     101     918    67,1
   1834     101     920    33,6
   1839     101     923    67,1
   1844     134     925    67,1
   1849    67,1     928    67,1
   1854    67,1     930    67,1
   1859     101     933    67,1
   1864    67,1     935    67,1
   1869    33,6     937    33,6
   1874     101     940    33,6
   1879     101     942    33,6
   1884     101     945    33,6
   1889     101     947    67,1
   1894    67,1     950    67,1
   1899     101     952    67,1
   1904     168     955    67,1
   1909    33,6     957    67,1
   1914     101     960    33,6
   1919     168     962    67,1
   1924     101     965    67,1
   1929     101     967    67,1
   1934     101     970    33,6
   1939     134     972    33,6
   1944     134     975    33,6
   1949    33,6     977    67,1
   1954    33,6     980    67,1
   1959    33,6     982    33,6
   1964    67,1     985    33,6
   1969     101     987     0,0
   1974     101     990    33,6
   1979     201     992    33,6
   1984     201     995    33,6
   1989    33,6     997    33,6
   1994     101    1000    33,6
   1999     101    1002    33,6
   2004    67,1    1005    33,6
   2009    33,6    1007    33,6
   2014     101    1010    67,1
   2019    33,6    1012    67,1
   2024     0,0    1015    33,6
   2029    67,1    1017     0,0
   2034     269    1020    33,6
   2039     336    1022    33,6
   2044     470    1025    33,6
   2049     436    1027    33,6
   2054     168    1030    67,1
   2059     134    1032    33,6
   2064     201    1034     0,0
   2069     101    1037     0,0
   2074    33,6    1039    33,6
   2079     0,0    1042    67,1
   2084    67,1    1044     0,0
   2089    33,6    1047     0,0
   2094     0,0    1049    33,6
   2099     101    1052    67,1
   2104    67,1    1054    33,6
   2109     134    1057    33,6
   2114    67,1    1059    67,1
   2119    67,1    1062     0,0
   2124     101    1064    67,1
   2129     269    1067    67,1
   2134     806    1069    67,1
   2139    1041    1072    33,6
   2144     705    1074     0,0
   2149     369    1077    33,6
   2154     134    1079    33,6
   2159    33,6    1082     0,0
   2164    33,6    1084     0,0
   2169    67,1    1087     0,0
   2174    33,6    1089     0,0
   2179    33,6    1092    33,6
   2184    33,6    1094    33,6
   2189    67,1    1097    67,1
   2194    33,6    1099    33,6
   2199     101    1102    67,1
   2204    67,1    1104    33,6
   2209    67,1    1107    67,1
   2214     0,0    1109    33,6
   2219    67,1    1112    33,6
   2224    33,6    1114    33,6
   2229     0,0    1117    67,1
   2234    33,6    1119    33,6
   2239    33,6    1122     0,0
   2244    67,1    1124     0,0
   2249    67,1    1127     0,0
   2250    42,0    1127    30,0
   2251    42,0    1128    15,0
   2252    39,0    1128    17,0
   2253    40,0    1129    23,0
   2254    33,0    1129    20,0
   2255    38,0    1129    34,0
   2256    38,0    1130    25,0
   2257    52,0    1130    29,0
   2258    44,0    1131    24,0
   2259    53,0    1131    32,0
   2260    72,0    1132    20,0
   2261    55,0    1132    26,0
   2262    53,0    1133    29,0
   2263    72,0    1133    29,0
   2264    70,0    1134    21,0
   2265    72,0    1134    20,0
   2266    77,0    1135    24,0
   2267    78,0    1135    19,0
   2268    72,0    1136    19,0
   2269    72,0    1136    19,0
   2270     105    1137    21,0
   2271    84,0    1137    33,0
   2272    90,0    1138    23,0
   2273     111    1138    15,0
   2274    93,0    1139    23,0
   2275     118    1139    21,0
   2276     112    1140    21,0
   2277     117    1140    21,0
   2278     105    1141    22,0
   2279     134    1141    21,0
   2280     126    1142    25,0
   2281     124    1142    23,0
   2282     140    1143    22,0
   2283     148    1143    21,0
   2284     164    1144    21,0
   2285     141    1144    31,0
   2286     156    1145    22,0
