01.01.2007   N1106
Образец: "Mo"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    2281     425    67,1
    839    2214     427    67,1
    844    2114     430    33,5
    849    1812     432    33,5
    854    1778     435    33,5
    859    1812     437    33,5
    864    1845     440    33,5
    869    2046     442    67,1
    874    2214     445    67,1
    879    2147     447    67,1
    884    2080     450    67,1
    889    1979     452    67,1
    894    1946     455     101
    899    1845     457    67,1
    904    1845     460    67,1
    909    1845     462    67,1
    914    1845     465    67,1
    919    1946     467    67,1
    924    1979     469    67,1
    929    1879     472    67,1
    934    1778     474    67,1
    939    1711     477    67,1
    944    1711     479    67,1
    949    1812     482     101
    954    1845     484     101
    959    1912     487     101
    964    1879     489     101
    969    1812     492     101
    974    1778     494     134
    979    1677     497     134
    984    1644     499     134
    989    1778     502     134
    994    1845     504     101
    999    1711     507     101
   1004    1610     509     101
   1009    1476     511    67,1
   1014    1476     514    67,1
   1019    1476     516    67,1
   1024    1476     519    67,1
   1029    1409     521    67,1
   1034    1443     524    67,1
   1039    1543     526    67,1
   1044    1543     529     101
   1049    1577     531     101
   1054    1610     534     101
   1059    1577     536     101
   1064    1476     538     134
   1069    1275     541     134
   1074    1107     543     134
   1079    1208     546     134
   1084    1308     548     134
   1089    1342     551     168
   1094    1174     553     134
   1099    1074     556     168
   1104    1107     558     134
   1109    1208     561     168
   1114    1241     563     134
   1119    1241     566     168
   1124    1107     568     201
   1129    1006     571     201
   1134    1040     573     235
   1139    1040     576     201
   1144    1107     578     201
   1149    1107     581     201
   1154    1241     583     168
   1159    1409     586     201
   1164    1510     588     235
   1169    1577     591     201
   1174    1476     593     201
   1179    1275     596     235
   1184    1208     598     268
   1188    1184     600     349
   1190    1095     601     330
   1192     992     602     363
   1194     931     603     373
   1196     890     604     382
   1198     876     605     380
   1200     916     606     409
   1202     915     607     483
   1204     869     608     478
   1206     905     609     501
   1208     806     610     519
   1210     879     611     575
   1212     894     612     623
   1214     879     613     663
   1216     881     614     772
   1218     899     615     786
   1220     862     616     790
   1222     908     617     950
   1224     924     618     950
   1226     922     619    1048
   1228    1014     620    1156
   1230    1016     621    1269
   1232     988     622    1354
   1234     980     623    1381
   1236    1024     624    1503
   1238    1072     625    1506
   1240    1040     626    1579
   1242    1073     627    1645
   1244    1137     628    1652
   1246    1118     629    1710
   1248    1067     630    1837
   1251    1059     631    1873
   1253    1067     632    1862
   1255    1024     633    1867
   1257    1109     634    1897
   1259    1101     635    1816
   1261    1089     636    1817
   1263    1128     637    1834
   1265    1028     638    1636
   1267    1083     639    1563
   1269    1074     640    1493
   1271    1148     641    1370
   1273    1085     642    1206
   1275    1169     643    1050
   1277    1210     644     895
   1279    1275     645     736
   1281    1382     646     616
   1283    1384     647     439
   1285    1440     648     447
   1287    1488     649     372
   1289    1510     650     308
   1291    1508     651     311
   1293    1468     652     263
   1295    1410     653     286
   1297    1263     654     298
   1299    1256     655     280
   1301    1176     656     272
   1303    1023     657     271
   1305     953     658     271
   1307     835     659     287
   1309     774     660     233
   1311     748     661     267
   1313     643     662     284
   1315     615     663     266
   1317     600     664     273
   1319     656     665     243
   1321     605     666     276
   1323     623     667     271
   1325     636     668     256
   1327     657     669     290
   1329     687     670     248
   1331     695     671     238
   1333     704     672     251
   1335     665     673     294
   1337     736     674     287
   1340     690     675     277
   1342     723     676     270
   1344     651     677     302
   1346     652     678     272
   1347     642     679     293
   1349     614     680     351
   1352     615     681     325
   1354     583     682     338
   1356     605     683     395
   1358     624     684     423
