01.01.2007   N1106
Образец: "Ni"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1815     425     0,0
    839    1849     427    33,6
    844    1815     430    67,2
    849    1748     432    67,2
    854    1748     435    67,2
    859    1782     437    67,2
    864    1815     440    67,2
    869    1782     442    67,2
    874    1815     445    67,2
    879    1815     447    33,6
    884    1815     450    33,6
    889    1815     452    67,2
    894    2051     455    67,2
    899    1983     457    67,2
    904    2017     460     101
    909    2051     462    67,2
    914    2017     465     101
    919    1950     467    67,2
    924    1983     469     101
    929    1950     472     101
    934    1916     474     101
    939    1883     477     101
    944    1916     479     101
    949    2017     482     134
    954    2084     484     168
    959    2185     487     168
    964    2118     489     134
    969    2152     492     168
    974    2152     494     134
    979    2017     497     134
    984    1950     499     134
    989    1883     502     101
    994    1916     504     101
    999    1983     507     101
   1004    2152     509     101
   1009    2185     511     101
   1014    2219     514     101
   1019    2152     516     101
   1024    2185     519     101
   1029    2084     521     101
   1034    2118     524     101
   1039    2017     526     134
   1044    2017     529     101
   1049    1983     531     101
   1054    2017     534    67,2
   1059    2084     536     101
   1064    2017     538    67,2
   1069    1916     541    67,2
   1074    1916     543     101
   1079    1916     546     101
   1084    1849     548     101
   1089    1950     551     101
   1094    1883     553     134
   1099    1815     556     134
   1104    1782     558     134
   1109    1681     561     134
   1114    1782     563     134
   1119    1748     566     101
   1124    1715     568     134
   1129    1647     571     134
   1134    1715     573     134
   1139    1849     576     134
   1144    1916     578     134
   1149    1849     581     134
   1154    1782     583     101
   1159    1748     586     101
   1164    1950     588     101
   1169    1950     591     101
   1174    1849     593     134
   1179    1815     596     168
   1184    1715     598     202
   1189    1748     601     202
   1194    1681     603     202
   1199    1614     606     168
   1204    1513     608     134
   1209    1378     610     134
   1214    1412     613     134
   1219    1479     615     134
   1224    1546     618     101
   1229    1614     620     101
   1234    1546     623    33,6
   1239    1546     625    33,6
   1244    1513     628    33,6
   1249    1479     630     101
   1254    1345     633     101
   1259    1311     635     101
   1264    1311     638     101
   1269    1412     640     101
   1274    1412     643    67,2
   1279    1412     645    67,2
   1284    1446     648     101
   1289    1446     650     101
   1294    1244     652     101
   1299    1109     655     101
   1304    1042     657     101
   1309    1143     660    67,2
   1314    1042     662    67,2
   1319    1076     665    67,2
   1324    1109     667    67,2
