01.01.2007   N1106
Образец: "Os"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    5371     425     101
    839    5673     427     134
    844    5740     430     201
    849    5640     432     201
    854    5606     435     201
    859    5539     437     201
    864    5505     440     201
    869    5539     442     168
    874    5505     445     168
    879    5573     447     134
    884    5438     450     134
    889    5237     452     134
    894    5069     455     101
    899    4901     457     101
    904    4800     460     101
    909    4666     462     101
    914    4767     465     134
    919    4767     467     168
    924    4733     469     168
    929    4834     472     201
    934    4901     474     201
    939    4800     477     201
    944    4633     479     201
    949    4599     482     201
    954    4565     484     168
    959    4498     487     168
    964    4532     489     201
    969    4633     492     201
    974    4666     494     235
    979    4767     497     235
    984    4935     499     235
    989    4800     502     235
    994    4700     504     235
    999    4800     507     235
   1004    4800     509     235
   1009    5002     511     235
   1014    5270     514     269
   1019    5304     516     269
   1024    5136     519     302
   1029    4901     521     302
   1034    4666     524     302
   1039    4465     526     302
   1044    4331     529     269
   1049    4263     531     269
   1054    3961     534     302
   1059    3793     536     302
   1064    3693     538     336
   1069    3525     541     336
   1074    3458     543     336
   1079    3626     546     369
   1084    3760     548     336
   1089    3827     551     302
   1094    3693     553     302
   1099    3357     556     302
   1104    3122     558     302
   1109    3290     561     336
   1114    3290     563     302
   1119    3323     566     336
   1124    3290     568     336
   1129    3424     571     302
   1134    3558     573     336
   1139    3793     576     336
   1144    3760     578     369
   1149    3961     581     470
   1150    4456     581     457
   1151    4691     582     487
   1152    4532     582     526
   1153    4875     583     508
   1154    4919     583     504
   1155    4906     584     526
   1156    5262     584     541
   1157    5433     585     525
   1158    5669     585     570
   1159    5841     586     546
   1160    5986     586     515
   1161    6199     587     552
   1162    6428     587     568
   1163    6614     588     597
   1164    6858     588     586
   1165    6753     589     614
   1166    7247     589     565
   1167    7448     590     606
   1168    7605     590     605
   1169    7764     591     632
   1170    7975     591     615
   1171    8018     592     595
   1172    8274     592     598
   1173    8351     593     652
   1174    8570     593     585
   1175    8602     594     626
   1176    8796     594     532
   1177    8914     595     596
   1178    9037     595     595
   1179    9311     596     598
   1180    9479     596     628
   1181    9639     597     621
   1182    9663     597     618
   1183    9830     598     601
   1184    9814     598     627
   1185    9968     599     638
   1186    9970     599     657
   1187   10053     600     634
   1188   10106     600     608
   1189   10066     601     649
   1190   10108     601     642
   1191   10029     602     631
   1192   10229     602     633
   1193   10097     602     656
   1194   10102     603     580
   1195    9991     603     579
   1196   10013     604     588
   1197    9919     604     575
   1198    9788     605     577
   1199    9585     606     579
   1200    9855     606     610
   1201    9620     607     534
   1202    9498     607     574
   1203    9341     608     565
   1204    9242     608     511
   1205    9077     609     535
   1206    8859     609     514
   1207    8635     609     494
   1208    8217     610     480
   1209    7920     610     463
   1210    7499     611     475
   1211    6944     611     464
   1212    6652     612     475
   1213    6150     612     424
   1214    5567     613     396
   1215    5234     613     485
   1216    4796     614     436
   1217    4577     614     449
   1218    4256     615     444
   1219    4084     615     390
   1220    3775     616     393
   1221    3671     616     373
   1222    3571     617     402
   1223    3572     617     383
   1224    3317     618     367
   1225    3423     618     389
   1226    3305     619     383
   1227    3171     619     336
   1228    3125     620     367
   1229    3003     620     381
   1230    3003     621     364
   1234    2451     623     302
   1239    2081     625     302
   1244    2048     628     269
   1249    2148     630     302
   1254    1947     633     336
   1259    1981     635     336
   1264    2115     638     302
   1269    2115     640     302
   1274    1981     643     302
   1279    1913     645     302
   1284    1846     648     269
   1289    1846     650     269
   1294    1913     652     235
   1299    2014     655     201
   1304    1779     657     235
   1309    1779     660     269
   1314    1813     662     302
   1319    1981     665     269
   1324    1947     667     269
   1329    1678     670     201
   1334    1578     672     235
   1339    1712     675     302
   1344    1846     677     302
   1349    1813     680     269
   1354    1880     682     235
   1359    1779     685     201
   1360    1754     685     244
   1361    1753     686     241
   1362    1825     686     260
   1363    1797     687     232
   1364    1951     687     259
   1365    2027     688     255
   1366    2151     688     253
   1367    2167     689     230
   1368    2306     689     215
   1369    2526     690     259
   1370    2678     690     269
   1371    2883     691     234
   1372    3382     691     244
   1373    3651     692     231
   1374    3965     692     227
   1375    4542     693     264
   1376    4894     693     241
   1377    5410     694     243
   1378    5824     694     262
   1379    6307     695     240
   1380    6832     695     249
   1381    7166     696     267
   1382    7550     696     227
   1383    7980     696     263
   1384    8249     697     266
   1385    8595     698     246
   1386    8740     698     229
   1387    9054     699     265
   1388    9174     699     254
   1389    9378     700     255
   1390    9580     700     272
   1391    9645     701     261
   1392    9864     701     267
   1393    9626     702     227
   1394    9543     702     262
   1395    9532     703     264
   1396    9396     703     275
   1397    9167     703     251
   1398    9018     704     247
   1399    8551     704     239
   1400    8225     705     255
   1401    7973     705     242
   1402    7036     706     269
   1403    6623     706     272
   1404    5972     707     246
   1405    5373     707     241
   1406    4655     708     214
   1407    4156     708     224
   1408    3697     709     241
   1409    3246     709     208
   1410    2882     710     257
   1411    2811     710     225
   1412    2597     711     211
   1413    2410     711     237
   1414    2269     712     219
   1415    2186     712     230
   1416    2068     713     242
   1417    2047     713     238
   1418    1844     714     265
   1419    1843     714     244
   1420    1770     715     223
   1424    1645     717     235
   1429    1477     719     302
   1434    1309     722     302
   1439    1376     724     235
   1444    1209     727     235
   1449    1074     729     235
   1454    1074     732     269
   1459    1209     734     302
   1464    1175     737     269
   1469     974     739     302
   1474     839     742     269
   1479     873     744     235
   1484    1007     747     235
   1489    1074     749     201
   1494     940     752     201
   1499     739     754     201
   1504     806     757     201
   1509     806     759     235
   1514     906     761     201
   1519    1074     764     201
   1524    1242     766     201
   1529    1645     769     235
   1534    2048     771     269
   1539    2048     774     302
   1544    1880     776     269
   1549    1880     779     235
   1554    1544     781     201
   1559    1578     784     201
   1564    1813     786     168
   1569    1880     789     168
   1574    1611     791     201
   1579    1477     794     134
   1584    1477     796     101
   1589    1410     799     101
   1594    1041     801     168
   1599     873     804     168
   1604     940     806     168
   1609     873     809     201
   1614     739     811     201
   1619     638     813     235
   1624     571     816     201
   1629     504     818     168
   1634     470     821     134
   1639     604     823     101
   1644     705     826     134
   1649     571     828     201
   1654     504     831     235
   1659     537     833     201
   1664     638     836     201
   1669     537     838     201
   1674     403     841     168
   1679     470     843     201
   1684     671     846     235
   1689     537     848     269
   1694     336     851     201
   1699     537     853     168
   1704     504     856     168
   1709     403     858     168
   1714     537     861     101
   1719     403     863     168
   1724     336     866     235
   1729     504     868     201
   1734     470     870     134
   1739     470     873     168
   1744     537     875     235
   1749     436     878     235
   1754     403     880     235
   1759     369     883     235
   1764     269     885     201
   1769     369     888     134
   1774     403     890     168
   1779     436     893     134
   1784     470     895     134
   1789     369     898     134
   1794     269     900     168
   1799     336     903     168
   1804     302     905     134
   1809     302     908     168
   1814     235     910     168
   1819     302     913     134
   1824     269     915     101
   1829     336     918     101
   1834     369     920     201
   1839     235     923     269
   1844     369     925     201
   1849     235     928     101
   1854     235     930    67,1
   1859     235     933    67,1
   1864     269     935     101
   1869     269     937     134
   1874     269     940     168
   1879     369     942     134
   1884     403     945     168
   1889     269     947     201
   1894     336     950     201
   1899     336     952     168
   1904     235     955     101
   1909     201     957    67,1
   1914    67,1     960     134
   1919     235     962     134
   1924     336     965     134
   1929     336     967     101
   1934     403     970     101
   1939     369     972     134
   1944     201     975     134
   1949     201     977     134
   1954     168     980    33,6
   1959     302     982     134
   1964     269     985     134
   1969     168     987     101
   1974     168     990     101
   1979     168     992     134
   1984     134     995     168
   1989     134     997     168
   1994     168    1000     101
   1999     269    1002     101
   2004     269    1005     101
   2009     168    1007     168
   2014     101    1010     168
   2019     134    1012     134
   2024    67,1    1015     201
   2029     201    1017     201
   2034     201    1020     101
   2039     101    1022     168
   2044    67,1    1025     302
   2049     101    1027     235
   2054     101    1030     134
   2059     201    1032     101
   2064     201    1034    67,1
   2069     101    1037     101
   2074     134    1039     101
   2079    67,1    1042     134
   2084     101    1044     101
   2089     168    1047     101
   2094     134    1049     168
   2099     101    1052     134
   2104     168    1054     101
   2109    33,6    1057     101
   2114    67,1    1059     101
   2119     101    1062    33,6
   2124     101    1064    33,6
   2129     168    1067    67,1
   2134     101    1069    67,1
   2139     269    1072    67,1
   2144    33,6    1074     134
   2149     101    1077     101
   2154     168    1079    67,1
   2159     168    1082    67,1
   2164     101    1084    67,1
   2169    67,1    1087    67,1
   2174     134    1089    67,1
   2179     101    1092     101
   2184    67,1    1094    67,1
   2189     134    1097    33,6
   2194    67,1    1099    33,6
   2199     101    1102    33,6
   2204     101    1104    67,1
   2209    67,1    1107     101
   2214     101    1109     101
   2219     101    1112    67,1
   2224     101    1114     101
   2229    67,1    1117    67,1
   2234     134    1119    33,6
   2239     0,0    1122    67,1
   2244     101    1124    67,1
   2249    33,6    1127     101
   2254    33,6    1129     134
   2259    33,6    1131     101
   2264    67,1    1134     101
   2269     101    1136    33,6
   2274    67,1    1139    67,1
   2279    67,1    1141     201
   2284    67,1    1144    67,1
   2289    67,1    1146    67,1
   2294    67,1    1149     101
   2299    33,6    1151    33,6
   2304     101    1154     101
   2309    67,1    1156    33,6
   2314    67,1    1159     101
   2319    33,6    1161    33,6
   2324    67,1    1164     101
   2329     134    1166     134
   2334    67,1    1169     235
   2339     134    1171     235
   2344     101    1174     235
   2349    67,1    1176     201
   2354     101    1179     134
   2359     0,0    1181    67,1
   2364     101    1184     168
   2369    67,1    1186     101
   2374    33,6    1189     201
   2379     101    1191     201
   2384     134    1194     269
   2389     134    1196     369
   2394     101    1199     403
   2399    67,1    1201     336
   2404     0,0    1204     134
   2409    67,1    1206    33,6
   2414    67,1    1209     0,0
   2419    67,1    1211     101
   2424     0,0    1214    33,6
   2429    67,1    1216    33,6
   2434     0,0    1218     134
   2439    33,6    1221    67,1
   2444     101    1223    33,6
   2449    67,1    1226    33,6
   2454     0,0    1229    67,1
   2459    33,6    1231     0,0
   2464     134    1234    33,6
   2469    67,1    1236    33,6
   2474     101    1238    67,1
   2479    33,6    1241    33,6
   2484     101    1243     0,0
   2489     0,0    1246    33,6
   2494     0,0    1248    33,6
   2499    33,6    1251    67,1
   2504    67,1    1253    67,1
   2509    67,1    1256    33,6
   2514     0,0    1258     0,0
   2519    33,6    1261    33,6
   2524    33,6    1263     101
   2529    67,1    1266    33,6
   2534    67,1    1268     101
   2539     0,0    1271     0,0
   2544    67,1    1273    33,6
   2549     0,0    1276     0,0
   2554    33,6    1278    33,6
   2559    33,6    1281     0,0
   2564     0,0    1283    67,1
   2569    33,6    1286    67,1
   2574     0,0    1288    33,6
   2579     0,0    1291     101
   2584     0,0    1293    33,6
   2589    33,6    1296    33,6
   2594     0,0    1298    67,1
   2599     0,0    1301    33,6
   2604    67,1    1303    33,6
   2609    33,6    1306    67,1
   2614     0,0    1308    33,6
   2619     0,0    1311     0,0
   2624     0,0    1313    33,6
   2629    33,6    1316    33,6
   2634    67,1    1318    67,1
   2639     0,0    1321     0,0
   2644    33,6    1323    33,6
   2649    33,6    1326     0,0
   2654     0,0    1328    67,1
   2659    67,1    1331    33,6
   2664     0,0    1333     0,0
   2669     0,0    1336    33,6
   2674     0,0    1338     0,0
   2679     0,0    1340     0,0
   2684    33,6    1343     101
   2689    67,1    1345    67,1
   2694     0,0    1348     0,0
   2699    33,6    1351    33,6
   2704     0,0    1353    67,1
   2709    67,1    1356     101
   2714    33,6    1358    67,1
   2719     0,0    1360     0,0
   2724    67,1    1363     0,0
   2729     0,0    1365    33,6
   2734    33,6    1368     0,0
   2739     0,0    1370    33,6
   2744     0,0    1373    33,6
   2749    33,6    1375     134
   2754    33,6    1378    67,1
   2759     0,0    1380    33,6
   2764    67,1    1383    33,6
   2769     0,0    1385    67,1
   2774    33,6    1388     168
   2779     0,0    1390     302
   2784     0,0    1393     403
   2789    33,6    1395     168
   2794     0,0    1398    33,6
   2799     0,0    1400     168
   2804    33,6    1403     0,0
   2809    67,1    1405     101
   2814     0,0    1408    33,6
   2819    67,1    1410     0,0
   2824    33,6    1413    33,6
   2829    67,1    1415    67,1
   2834    33,6    1418     0,0
   2839    67,1    1420    33,6
   2844     0,0    1422     0,0
   2849    33,6    1425    33,6
   2854    33,6    1427    67,1
   2859    67,1    1430    33,6
   2864     0,0    1432     0,0
   2869    33,6    1435    33,6
   2874     0,0    1437     0,0
   2879    33,6    1440     0,0
   2884     0,0    1442    67,1
   2889     0,0    1445    67,1
   2894    33,6    1447    33,6
   2899     0,0    1450    33,6
   2904    33,6    1452     0,0
   2909     0,0    1455     0,0
   2914     0,0    1457    33,6
   2919    33,6    1460    33,6
   2924     0,0    1462    33,6
   2929     0,0    1465     0,0
   2934    33,6    1467     0,0
   2939     0,0    1470    33,6
   2944    33,6    1472     0,0
   2949     0,0    1475     0,0
   2954     0,0    1477     0,0
   2959     0,0    1480     0,0
   2964     0,0    1482     0,0
   2969     0,0    1485     0,0
   2974    33,6    1487    33,6
   2979     0,0    1490     0,0
   2984     0,0    1492     0,0
   2989     0,0    1495    67,1
   2994     0,0    1498    33,6
   2999     0,0    1500     0,0
   3004     0,0    1502    33,6
   3009    33,6    1505     0,0
   3014     0,0    1508    67,1
   3019    33,6    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034    67,1    1518    33,6
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049     0,0    1525    67,1
   3054     0,0    1528     0,0
   3059     0,0    1530    33,6
   3064     0,0    1533    33,6
   3069     0,0    1535    33,6
   3074     0,0    1538    33,6
   3079     0,0    1540     101
   3084    33,6    1543    67,1
   3089    33,6    1545    67,1
   3094     0,0    1548    33,6
   3099     0,0    1550    67,1
   3104     0,0    1553    67,1
   3109     0,0    1555     0,0
   3114     0,0    1558    67,1
   3119    33,6    1560    67,1
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     101
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
