01.01.2007   N1106
Образец: "Pb"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834   21276     425     134
    839   19172     427     134
    844   16600     430     134
    849   13694     432     134
    854   10889     435     100
    859    8250     437     100
    864    5845     440    66,8
    869    4075     442    66,8
    874    2939     445    66,8
    879    2572     447    66,8
    884    2338     450    66,8
    889    2605     452    66,8
    894    2739     455    33,4
    899    2939     457    66,8
    904    3541     460    66,8
    909    4275     462     100
    914    5378     465     100
    919    7014     467     134
    924    9219     469     167
    929   12258     472     167
    934   16467     474     134
    939   22045     477     200
    944   29527     479     167
    949   40783     482     367
    954   56381     484     668
    959   75653     487    1169
    964   96997     489    1837
    969  119342     492    2405
    974  137312     494    2906
    979  146330     497    3173
    984  147499     499    3140
    989  135241     502    2705
    994  112027     504    2071
    999   82000     507    1403
   1004   51237     509     768
   1009   29025     511     334
   1014   18705     514    66,8
   1019   13294     516     0,0
   1024   10655     519    33,4
   1029    7916     521    66,8
   1034    5845     524    66,8
   1039    4342     526    66,8
   1044    4042     529    33,4
   1049    3607     531    66,8
   1054    3273     534    66,8
   1059    3173     536     100
   1064    3140     538     100
   1069    3507     541     134
   1074    4042     543     134
   1079    4543     546     134
   1084    5277     548    66,8
   1089    5611     551    66,8
   1094    5611     553    66,8
   1099    5344     556    66,8
   1104    4609     558     100
   1109    4409     561     134
   1114    4042     563     167
   1119    3975     566     167
   1124    4242     568     167
   1129    5277     571     134
   1134    7081     573     134
   1139   10622     576     100
   1144   18371     578    33,4
   1149   32466     581     200
   1154   56448     583     768
   1159   89916     586    1670
   1164  122816     588    2572
   1169  145562     591    3374
   1174  152375     593    3774
   1179  142990     596    3507
   1184  118206     598    2538
   1189   82133     601    1536
   1194   43021     603     701
   1199   18538     606     100
   1204    7615     608     0,0
   1209    4242     610     0,0
   1214    2338     613    33,4
   1219    2204     615    66,8
   1224    2071     618     100
   1229    2104     620     134
   1234    2238     623     100
   1239    2204     625    66,8
   1244    1971     628    33,4
   1249    1737     630    33,4
   1254    1703     633    33,4
   1259    1670     635    66,8
   1264    1637     638    66,8
   1269    1570     640    66,8
   1274    1503     643    66,8
   1279    1637     645    66,8
   1284    1637     648    33,4
   1289    1670     650    33,4
   1294    1603     652    66,8
   1299    1303     655    66,8
   1304    1202     657    66,8
   1309    1269     660    66,8
   1314    1503     662    33,4
   1319    1536     665    33,4
   1324    2037     667    66,8
   1329    2872     670     100
   1334    4743     672     134
   1339    6513     675     100
   1344    7782     677     100
   1349    7549     680    66,8
   1354    6213     682    66,8
   1359    4643     685    66,8
   1364    2939     687    66,8
   1369    1804     690    66,8
   1374    1269     692    66,8
   1379    1436     695    33,4
   1384    1603     697    33,4
   1389    1570     700    33,4
   1394    1303     702    33,4
   1399    1403     704    33,4
   1404    1336     707    33,4
   1409    1236     709    33,4
   1414     902     712    33,4
   1419     868     714    33,4
   1424    1035     717    33,4
   1429    1002     719    33,4
   1434     868     722    33,4
   1439     902     724    66,8
   1444     935     727    66,8
   1449     902     729    66,8
   1454     969     732    66,8
   1459     868     734     100
   1464     768     737     100
   1469     701     739     134
   1474     601     742    66,8
   1479     568     744    33,4
   1484     668     747    33,4
   1489     668     749    33,4
   1494     701     752    33,4
   1499     635     754    33,4
   1504     635     757    66,8
   1509     668     759     100
   1514     701     761     100
   1519     668     764    66,8
   1524     969     766    33,4
   1529    1870     769    33,4
   1534    2271     771    66,8
   1539    2104     774    66,8
   1544    1904     776     100
   1549    1603     779     100
   1554    1136     781     100
   1559     735     784     100
   1564     635     786     100
   1569     601     789    66,8
   1574     534     791    66,8
   1579     601     794     100
   1584     568     796     100
   1589     534     799     134
   1594     434     801     100
   1599     334     804     167
   1604     468     806     234
   1609     601     809     267
   1614     367     811     301
   1619     434     813     301
   1624     534     816     468
   1629     468     818     534
   1634     434     821     501
   1639     534     823     434
   1644     534     826     401
   1649     501     828     534
   1654     501     831     701
   1659     568     833    1002
   1664     735     836    1202
   1669     768     838    1403
   1674     668     841    1336
   1679     568     843    1002
   1684     468     846     568
   1689     468     848     267
   1694     468     851     167
   1699     367     853     134
   1704     334     856     167
   1709     434     858     100
   1714     534     861     134
   1719     334     863     134
   1724     334     866     167
   1729     401     868     134
   1734     334     870     134
   1739     301     873     100
   1744     434     875     100
   1749     301     878    66,8
   1754     468     880    33,4
   1759     468     883    66,8
   1764     401     885     100
   1769     401     888    66,8
   1774     301     890     0,0
   1779     301     893     0,0
   1784     367     895    33,4
   1789     267     898     100
   1794     267     900     134
   1799     434     903     134
   1804     367     905     100
   1809     267     908     134
   1814     167     910     134
   1819     334     913     134
   1824     401     915     134
   1829     401     918    66,8
   1834     434     920     100
   1839     234     923     100
   1844     167     925    66,8
   1849     234     928     100
   1854     234     930     167
   1859     200     933     167
   1864     167     935     100
   1869     334     937     100
   1874     234     940    66,8
   1879     234     942     200
   1884     267     945     301
   1889     334     947     401
   1894     301     950     568
   1899     334     952     701
   1904     234     955     568
   1909     234     957     367
   1914     267     960     367
   1919     367     962     534
   1924     301     965     902
   1929     367     967    1269
   1934     568     970    1603
   1934     578     970    1635
   1936     574     971    1937
   1938     620     972    2399
   1940     656     973    2921
   1942     790     974    3534
   1944     844     975    4168
   1946     937     976    5180
   1948    1055     977    6349
   1950    1177     978    7375
   1952    1238     979    9139
   1954    1334     980   10580
   1956    1442     981   11591
   1958    1569     982   11958
   1961    1633     983   11610
   1963    1491     984   10756
   1965    1454     985    9369
   1967    1230     986    7782
   1969    1056     987    6258
   1971     817     988    4495
   1973     618     989    3043
   1975     474     990    1945
   1979     267     992     434
   1984     200     995     267
   1989     200     997     267
   1994     134    1000     334
   1999     234    1002     534
   2004     267    1005     802
   2009     367    1007     735
   2014     200    1010     501
   2019     234    1012     434
   2024     167    1015     501
   2029     200    1017     468
   2034     200    1020     301
   2039     234    1022     234
   2044     200    1025     334
   2049     167    1027     200
   2054     167    1030    66,8
   2059     167    1032     100
   2064     134    1034     134
   2069     134    1037     100
   2074     100    1039     100
   2079     100    1042     134
   2084     167    1044     134
   2089     200    1047     100
   2094    66,8    1049    66,8
   2099     267    1052     167
   2104     134    1054     200
   2109     134    1057    66,8
   2114     234    1059    33,4
   2119     167    1062     100
   2124     167    1064     100
   2129     134    1067     0,0
   2134     234    1069    66,8
   2139     134    1072     100
   2144     200    1074     100
   2149     167    1077     134
   2154     200    1079     100
   2159     200    1082     134
   2164     100    1084     167
   2169     167    1087     200
   2174     200    1089     200
   2179     167    1092     200
   2184     134    1094     234
   2189    33,4    1097    66,8
   2194     267    1099    66,8
   2199    66,8    1102    66,8
   2204     234    1104    33,4
   2209     134    1107     100
   2214     134    1109     134
   2219     100    1112    66,8
   2224    66,8    1114     100
   2229     167    1117     100
   2234     134    1119    66,8
   2239     167    1122    33,4
   2244     100    1124    33,4
   2249    66,8    1127    33,4
   2254     200    1129    66,8
   2259     167    1131     100
   2264     100    1134    33,4
   2269    66,8    1136    33,4
   2274     100    1139    33,4
   2279     100    1141     134
   2284     167    1144     200
   2289    66,8    1146     167
   2294     200    1149    66,8
   2299     134    1151     134
   2304     100    1154     200
   2309     100    1156     200
   2314     134    1159     134
   2316     125    1160     186
   2318     111    1161     222
   2320     120    1162     281
   2322     146    1163     352
   2324     148    1164     470
   2326     163    1165     659
   2328     170    1166    1011
   2330     235    1167    1434
   2332     293    1168    2091
   2334     378    1169    2881
   2336     472    1170    4060
   2338     546    1171    5754
   2340     754    1172    7826
   2342     921    1173    9324
   2345    1037    1174   10092
   2347    1005    1175    9920
   2349     968    1176    8950
   2351     801    1177    7124
   2353     692    1178    5619
   2355     532    1179    4028
   2357     425    1180    2614
   2359     301    1181    1711
   2361     221    1182    1243
   2363     205    1183    1139
   2365     214    1184    1246
   2367     216    1185    1258
   2369     201    1186    1273
   2371     189    1187    1146
   2373     166    1188     969
   2375     168    1189     781
   2377     143    1190     595
   2379     134    1191     301
   2384     167    1194     167
   2389     134    1196     167
   2394     234    1199     134
   2399    66,8    1201    66,8
   2404     100    1204     100
   2409     134    1206     100
   2414    33,4    1209     0,0
   2419     167    1211    33,4
   2424     100    1214    33,4
   2429    66,8    1216     100
   2434     100    1218     134
   2439     134    1221    66,8
   2444    66,8    1223     100
   2449    33,4    1226    66,8
   2454     100    1229    33,4
   2459    66,8    1231    66,8
   2464    33,4    1234    33,4
   2469    66,8    1236    33,4
   2474    66,8    1238    66,8
   2479     134    1241     100
   2484     134    1243    33,4
   2489    33,4    1246    33,4
   2494     167    1248     100
   2499    66,8    1251     100
   2504     134    1253     100
   2509    66,8    1256     100
   2514    66,8    1258     0,0
   2519     234    1261     0,0
   2524    33,4    1263     100
   2529    66,8    1266    66,8
   2534     134    1268    33,4
