01.01.2007   N1106
Образец: "Se"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1739     425     0,0
    839    1973     427    33,4
    844    2007     430    66,9
    849    2007     432    66,9
    854    2074     435    66,9
    859    2040     437    66,9
    864    2140     440     100
    869    2140     442     100
    874    2207     445     100
    879    2140     447    66,9
    884    2140     450    66,9
    889    2107     452    66,9
    894    2074     455    66,9
    899    2207     457    66,9
    904    2308     460    66,9
    909    2408     462    33,4
    914    2475     465    33,4
    919    2676     467    66,9
    924    3010     469     100
    929    3746     472     100
    934    4749     474     100
    939    5953     477     100
    944    7458     479     100
    949    9063     482     100
    950    9327     482     123
    951    9805     483     124
    952   10288     483     137
    953   10402     484     149
    954   11119     484     113
    955   11616     485     141
    956   12203     485     148
    957   12987     486     154
    958   13834     486     123
    959   14326     487     170
    960   15240     487     152
    961   16574     488     139
    962   17496     488     178
    963   18282     489     200
    964   19726     489     208
    965   21143     490     186
    966   22633     490     213
    967   24359     491     226
    968   26111     491     254
    969   28131     492     247
    970   30309     492     288
    971   32556     493     276
    972   34925     493     353
    973   37023     494     371
    974   39324     494     379
    975   42436     495     422
    976   45726     495     473
    977   48187     496     548
    978   50619     496     561
    979   53324     497     635
    980   56129     497     683
    981   58793     498     769
    982   61117     498     712
    983   62892     499     807
    984   65586     499     854
    985   67155     500     837
    986   68679     500     969
    987   70334     501     995
    988   71459     501     958
    989   72390     502     987
    990   73297     502    1030
    991   74113     503    1038
    992   74501     503     995
    993   74168     504    1030
    994   74707     504    1262
    995   74779     505    1168
    996   73848     505    1153
    997   72961     506    1094
    998   72451     506    1029
    999   71523     507    1008
   1000   68868     507     990
   1001   67682     508     897
   1002   64552     508     913
   1003   61925     508     745
   1004   59013     509     771
   1005   55565     509     691
   1006   52467     510     615
   1007   48202     510     526
   1008   43761     511     404
   1009   40355     511     368
   1010   35771     512     297
   1011   32067     512     261
   1012   28024     513     178
   1013   24574     513     192
   1014   21272     514     166
   1015   17835     514     133
   1016   15334     515     115
   1017   13321     515     115
   1018   11698     516    97,0
   1019   10512     516    95,0
   1020    9331     517    91,0
   1021    8718     517     105
   1022    8194     518    81,0
   1023    7631     518    89,0
   1024    7161     519    78,0
   1025    6964     519     102
   1026    6623     520    73,0
   1027    6349     520    86,0
   1028    6218     521    88,0
   1029    6039     521    94,0
   1030    5977     522    82,0
   1031    5895     522    94,0
