01.01.2007   N1106
Образец: "Sm"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     840     425     101
    839     807     427    67,2
    844     773     430    33,6
    849     773     432    33,6
    854     807     435    33,6
    859     807     437    33,6
    864     773     440    33,6
    869     807     442    33,6
    874     773     445    33,6
    879     706     447    33,6
    884     706     450    33,6
    889     773     452    33,6
    894     807     455    33,6
    899     807     457    33,6
    904     874     460    33,6
    909     807     462    33,6
    914     706     465    33,6
    919     706     467    67,2
    924     706     469    67,2
    929     773     472    67,2
    934     773     474    67,2
    939     773     477    67,2
    944     740     479     101
    949     740     482    67,2
    954     706     484    67,2
    959     672     487    67,2
    964     639     489    67,2
    969     605     492     101
    974     571     494     101
    979     605     497     101
    984     672     499     101
    989     706     502     101
    994     706     504     101
    999     639     507     101
   1004     639     509    67,2
   1009     740     511    67,2
   1014     807     514    67,2
   1019     874     516    67,2
   1024    1009     519    67,2
   1029    1311     521    67,2
   1034    1479     524     101
   1039    1580     526    67,2
   1044    1446     529    67,2
   1049    1109     531    67,2
   1054     874     534    67,2
   1059     672     536    33,6
   1064     504     538    33,6
   1069     471     541    33,6
   1074     504     543    67,2
   1079     538     546    67,2
   1084     504     548    67,2
   1089     471     551    67,2
   1094     403     553    67,2
   1099     370     556    67,2
   1104     437     558    67,2
   1109     538     561    67,2
   1114     538     563    67,2
   1119     437     566    67,2
   1124     370     568    67,2
   1129     303     571    67,2
   1134     303     573    67,2
   1139     403     576    67,2
   1144     437     578     101
   1149     403     581     101
   1154     403     583     101
   1159     504     586     101
   1164     538     588    67,2
   1169     504     591    67,2
   1174     471     593    33,6
   1179     370     596    67,2
   1184     370     598    67,2
   1189     370     601     101
   1194     437     603     134
   1199     504     606     134
   1204     605     608     101
   1209     639     610     101
   1214     504     613    67,2
   1219     370     615     101
   1224     235     618     101
   1229     303     620    67,2
   1234     235     623    67,2
   1239     235     625    33,6
   1244     235     628    33,6
   1249     269     630     0,0
   1254     235     633    33,6
   1259     168     635    33,6
   1264     168     638    33,6
   1269     168     640    33,6
   1274     202     643    67,2
   1279     168     645    67,2
   1284     168     648    67,2
   1289     168     650    67,2
   1294     134     652    33,6
   1299     235     655    33,6
   1304     235     657    33,6
   1309     235     660    33,6
   1314     168     662    33,6
   1319     303     665    33,6
   1324     336     667    33,6
   1329     504     670    33,6
   1334     639     672    33,6
   1339     975     675    67,2
   1344    1042     677    67,2
   1349     840     680    67,2
   1354     471     682    67,2
   1359     269     685    67,2
   1364     168     687    67,2
   1369     134     690    33,6
   1374     202     692    33,6
   1379     235     695    33,6
   1384     202     697    33,6
   1389     101     700    33,6
   1394     134     702    33,6
   1399     202     704    67,2
   1404     168     707    33,6
   1409     101     709    33,6
   1414     101     712    33,6
   1419     168     714    33,6
   1424     235     717    67,2
   1429     403     719    67,2
   1434     471     722    33,6
   1439     269     724    33,6
   1444     202     727     0,0
   1449     168     729     0,0
   1454     134     732     0,0
   1459     101     734    33,6
   1464     101     737    33,6
   1469    67,2     739    33,6
   1474     134     742    33,6
   1479     134     744    67,2
   1484     134     747    67,2
   1489     134     749    33,6
   1494     134     752    33,6
   1499     134     754     0,0
   1504     101     757     0,0
   1509     101     759     0,0
   1514     101     761     0,0
   1519     101     764     0,0
   1524     202     766    33,6
   1529     235     769    33,6
   1534     168     771    33,6
   1539     202     774    33,6
   1544     269     776     0,0
   1549     235     779    33,6
   1554     168     781    33,6
   1559    67,2     784    33,6
   1564     134     786    33,6
   1569     168     789    33,6
   1574     134     791    33,6
   1579    67,2     794    33,6
   1584     134     796    33,6
   1589     202     799    33,6
   1594     168     801    33,6
   1599    67,2     804    33,6
   1604     101     806    33,6
   1609     101     809    33,6
   1614     134     811    33,6
   1619     101     813    33,6
   1624    33,6     816    33,6
   1629    33,6     818    33,6
   1634    33,6     821     0,0
   1639     134     823     0,0
   1644     168     826     0,0
   1649     134     828    33,6
   1654     168     831     0,0
   1659     168     833     0,0
   1664     168     836    33,6
   1669     101     838     0,0
   1674    67,2     841     0,0
   1679    67,2     843     0,0
   1684    33,6     846     0,0
   1689    33,6     848     0,0
   1694    33,6     851     0,0
   1699     101     853     0,0
   1704    67,2     856    33,6
   1709     101     858    33,6
   1714     202     861    33,6
   1719     269     863    33,6
   1724     269     866     0,0
   1729     370     868     0,0
   1734     336     870     0,0
   1739     134     873     0,0
   1744    33,6     875    33,6
   1749    67,2     878     0,0
   1754    67,2     880     0,0
   1759    67,2     883     0,0
   1764    67,2     885     0,0
   1769     101     888     0,0
   1774     101     890    33,6
   1779    67,2     893    33,6
   1784    33,6     895     0,0
   1789    33,6     898     0,0
   1794    67,2     900     0,0
   1799    67,2     903     0,0
   1804    67,2     905     0,0
   1809    33,6     908     0,0
   1814    33,6     910    33,6
   1819    67,2     913    33,6
   1824    33,6     915    33,6
   1829     0,0     918    33,6
   1834     0,0     920     0,0
   1839    33,6     923     0,0
   1844    33,6     925     0,0
   1849    67,2     928     0,0
   1854     134     930     0,0
   1859    67,2     933    33,6
   1864     202     935    33,6
   1869     303     937     0,0
   1874     504     940     0,0
   1879     605     942     0,0
   1884     504     945     0,0
   1889     336     947    33,6
   1894     168     950     0,0
   1899     134     952     0,0
   1904    67,2     955    33,6
   1909    33,6     957    33,6
   1914    33,6     960    33,6
   1919    33,6     962    33,6
   1924    67,2     965     0,0
   1929    67,2     967     0,0
   1934     134     970    33,6
   1939     134     972     0,0
   1944     101     975     0,0
   1949     303     977     0,0
   1954     370     980    67,2
   1959     336     982    33,6
   1964     437     985     0,0
   1969     303     987     0,0
   1974     101     990     0,0
   1979    67,2     992    33,6
   1980     119     993    16,0
   1981     117     993     6,0
   1982     141     994     7,0
   1983     165     994     9,0
   1984     207     995     7,0
   1985     254     995     9,0
   1986     344     996    14,0
   1987     485     996    10,0
   1988     560     997    13,0
   1989     754     997    17,0
   1990     893     998    16,0
   1991    1034     998     9,0
   1992    1162     999    13,0
   1993    1208     999    12,0
   1994    1317    1000     7,0
   1995    1351    1000    13,0
   1996    1443    1001    15,0
   1997    1495    1001    12,0
   1998    1513    1002    13,0
   1999    1482    1002    16,0
   2000    1492    1003    10,0
   2001    1416    1003     4,0
   2002    1449    1004    13,0
   2003    1338    1004    14,0
   2004    1263    1005    13,0
   2005    1186    1005     3,0
   2006    1060    1006    17,0
   2007     910    1006    10,0
   2008     748    1007     8,0
   2009     624    1007     8,0
   2010     531    1008     8,0
   2011     394    1008    10,0
   2012     315    1009     7,0
   2013     271    1009     7,0
   2014     232    1010     8,0
   2015     160    1010    13,0
   2016     142    1011    10,0
   2017     112    1011     7,0
   2018    91,0    1012     8,0
   2019    95,0    1012    11,0
   2020    73,0    1013     6,0
   2024    33,6    1015     0,0
   2029    33,6    1017     0,0
   2034    33,6    1020     0,0
   2039    33,6    1022    33,6
   2044     0,0    1025     0,0
   2049    33,6    1027     0,0
   2054    33,6    1030     0,0
   2059    33,6    1032    33,6
   2064    33,6    1034     0,0
   2069     0,0    1037     0,0
   2074    33,6    1039    33,6
   2079     0,0    1042    33,6
   2084    33,6    1044    33,6
   2089    67,2    1047     0,0
   2094    33,6    1049     0,0
   2099    33,6    1052     0,0
   2104    67,2    1054     0,0
   2109    33,6    1057    33,6
   2114    33,6    1059     0,0
   2119    33,6    1062     0,0
   2124    33,6    1064     0,0
   2129    33,6    1067     0,0
   2134    67,2    1069     0,0
   2139    33,6    1072     0,0
   2144    33,6    1074     0,0
   2149     0,0    1077     0,0
   2154    67,2    1079     0,0
   2159    33,6    1082    33,6
   2164     101    1084    33,6
   2169    67,2    1087    33,6
   2174    33,6    1089     0,0
   2179    67,2    1092     0,0
   2180    40,0    1092     8,0
   2181    61,0    1093     9,0
   2182    46,0    1093     9,0
   2183    60,0    1094     9,0
   2184    53,0    1094     4,0
   2185    79,0    1095     4,0
   2186     106    1095    14,0
   2187     129    1096    11,0
   2188     163    1096     5,0
   2189     281    1097    10,0
   2190     407    1097    11,0
   2191     491    1098     6,0
   2192     598    1098     4,0
   2193     796    1099     7,0
   2194     907    1099    10,0
   2195    1015    1100    20,0
   2196    1012    1100     4,0
   2197    1051    1101    11,0
   2198    1106    1101    12,0
   2199    1107    1102    10,0
   2200    1192    1102    11,0
   2201    1192    1103    12,0
   2202    1172    1103    11,0
   2203    1163    1104     8,0
   2204    1157    1104    10,0
   2205    1078    1105     8,0
   2206     960    1105    15,0
   2207     935    1106    12,0
   2208     771    1106    17,0
   2209     682    1107    15,0
   2210     548    1107     4,0
   2211     443    1108    10,0
   2212     359    1108     8,0
   2213     316    1109     8,0
   2214     255    1109     9,0
   2215     240    1110    13,0
   2216     218    1110     7,0
   2217     199    1111     3,0
   2218     167    1111     6,0
   2219     127    1112     9,0
