01.01.2007   N1106
Образец: "V"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    2488     425     168
    839    2858     427     134
    844    2891     430     134
    849    2689     432     134
    854    2589     435     168
    859    2555     437     168
    864    2454     440     168
    869    2521     442     168
    874    2689     445     168
    879    2622     447     168
    884    2521     450     202
    889    2521     452     202
    894    2521     455     168
    899    2488     457     168
    904    2454     460     202
    909    2387     462     168
    914    2219     465     168
    919    2118     467     168
    924    2152     469     168
    929    2219     472     202
    934    2185     474     202
    939    2185     477     202
    944    2051     479     235
    949    1983     482     202
    954    1916     484     202
    959    1950     487     202
    964    1916     489     235
    969    1916     492     235
    974    1916     494     269
    979    1950     497     303
    984    1916     499     269
    989    1849     502     269
    994    1815     504     303
    999    1715     507     303
   1004    1614     509     269
   1009    1412     511     269
   1014    1446     514     269
   1019    1546     516     235
   1024    1614     519     235
   1029    1614     521     202
   1034    1647     524     202
   1039    1580     526     235
   1044    1647     529     269
   1049    1614     531     303
   1054    1446     534     336
   1059    1345     536     336
   1064    1446     538     336
   1069    1446     541     336
   1074    1412     543     269
   1079    1513     546     269
   1084    1479     548     269
   1089    1546     551     269
   1094    1513     553     303
   1099    1513     556     303
   1104    1479     558     336
   1109    1244     561     336
   1114    1143     563     303
   1119     975     566     336
   1124     941     568     336
   1129    1009     571     370
   1134    1076     573     370
   1139    1210     576     403
   1144    1278     578     403
   1149    1177     581     370
   1154    1177     583     336
   1159    1278     586     336
   1164    1278     588     370
   1169    1345     591     437
   1174    1210     593     437
   1179    1143     596     437
   1184    1076     598     437
   1189     908     601     403
   1194    1009     603     370
   1199     874     606     336
   1204     908     608     303
   1209     908     610     269
   1214     908     613     235
   1219     941     615     202
   1224     773     618     202
   1229     807     620     202
   1234     908     623     235
   1239     874     625     235
   1244     740     628     269
   1249     672     630     235
   1254     773     633     202
   1259     740     635     168
   1264     639     638     168
   1269     740     640     202
   1274     706     643     202
   1279     706     645     202
   1284     639     648     168
   1289     572     650     134
   1294     672     652     168
   1299     773     655     202
   1304     672     657     202
   1309     639     660     134
   1314     538     662     134
   1319     572     665     101
   1324     639     667     101
   1329     773     670     134
   1334     807     672     134
   1339     773     675     134
   1344     706     677     134
   1349     572     680     101
   1354     538     682     101
   1359     504     685     101
   1364     403     687     101
   1369     437     690     134
   1374     538     692     134
   1379     639     695     134
   1384     504     697     134
   1389     504     700     134
   1394     538     702     134
   1399     605     704     134
   1404     504     707     134
   1409     437     709     134
   1414     471     712     134
   1419     538     714     101
   1424     672     717     101
   1429     706     719     101
   1434     639     722     101
   1439     572     724    67,2
   1444     471     727     101
   1449     403     729    67,2
   1454     403     732     101
   1459     370     734     101
   1464     269     737     134
   1469     336     739     134
   1474     403     742     168
   1479     403     744     168
   1484     336     747     134
   1489     403     749    67,2
   1494     370     752     101
   1499     403     754     101
   1504     303     757     134
   1509     269     759     134
   1514     269     761     101
   1519     370     764     101
   1524     437     766     134
   1529     740     769     134
   1534     941     771     134
   1539     975     774     134
   1544     941     776     101
   1549     773     779     101
   1554     605     781     101
   1559     538     784    67,2
   1564     504     786    67,2
   1569     403     789     101
   1574     269     791     101
   1579     269     794     134
   1584     370     796     101
   1589     303     799     101
   1594     202     801     101
   1599     370     804     101
   1604     336     806     134
   1609     336     809     134
   1614     336     811     101
   1619     235     813    67,2
   1624     303     816    67,2
   1629     303     818    67,2
   1634     202     821    67,2
   1639     168     823     101
   1644     168     826     134
   1649     235     828     101
   1654     403     831    67,2
   1659     370     833    67,2
   1664     269     836     101
   1669     269     838    67,2
   1674     269     841    33,6
   1679     303     843    33,6
   1684     235     846     101
   1689     134     848     101
   1694     101     851     101
   1699     134     853     101
   1704     168     856     101
   1709     168     858     101
   1714     134     861    67,2
   1719     235     863     101
   1724     235     866    67,2
   1729     235     868    67,2
   1734     235     870    67,2
   1739     101     873     101
   1744     134     875     134
   1749     168     878     101
   1754     202     880     101
   1759     235     883    67,2
   1764     168     885    67,2
   1769     168     888     101
   1774     168     890    67,2
   1779     202     893    67,2
   1784     202     895    67,2
   1789     101     898    67,2
   1794     101     900    33,6
   1799     101     903    67,2
   1804     101     905    67,2
   1809     101     908    67,2
   1814     134     910    67,2
   1819     101     913     101
   1824    67,2     915     101
   1829    67,2     918     101
   1834    67,2     920    67,2
   1839     0,0     923    67,2
   1844    67,2     925    67,2
   1849     168     928    33,6
   1854     101     930    33,6
   1859     101     933    33,6
   1864     235     935    67,2
   1869     134     937    33,6
   1874     101     940     101
   1879     101     942    67,2
   1884     101     945     101
   1889     101     947    67,2
   1894     101     950     0,0
   1899    33,6     952    67,2
   1904     0,0     955     101
   1909    67,2     957    33,6
   1914     134     960    33,6
   1919     168     962    33,6
   1924     202     965    67,2
   1929     235     967    33,6
   1934     269     970    33,6
   1939     235     972    33,6
   1944     303     975    33,6
   1949     101     977    33,6
   1954    67,2     980    33,6
   1959    33,6     982    33,6
   1964     101     985    67,2
   1969     101     987    33,6
   1974     101     990    67,2
   1979    67,2     992    67,2
   1984     101     995    67,2
   1989     134     997    33,6
   1994     134    1000     0,0
   1999    67,2    1002    33,6
   2004    33,6    1005    33,6
   2009    67,2    1007    33,6
   2014    33,6    1010    33,6
   2019    33,6    1012    33,6
   2024    67,2    1015    33,6
   2029     101    1017    33,6
   2034     101    1020    33,6
   2039     101    1022    33,6
   2044     101    1025    33,6
   2049    67,2    1027     0,0
   2054    67,2    1030    33,6
   2059     134    1032    33,6
   2064    67,2    1034    67,2
   2069    67,2    1037    67,2
   2074     0,0    1039    33,6
   2079     0,0    1042    33,6
   2084    67,2    1044     0,0
   2089     101    1047    33,6
   2094    67,2    1049    33,6
   2099     101    1052    33,6
   2104    67,2    1054     0,0
   2109    67,2    1057     0,0
   2114     0,0    1059    67,2
   2119     101    1062    67,2
   2124    67,2    1064    33,6
   2129    67,2    1067    33,6
   2134    67,2    1069    33,6
   2139     101    1072     0,0
   2144    67,2    1074    33,6
   2149    67,2    1077    33,6
   2154    67,2    1079    33,6
   2159     101    1082    33,6
   2164    67,2    1084    33,6
   2169    67,2    1087    67,2
   2174    33,6    1089    33,6
   2179    67,2    1092     0,0
   2184    67,2    1094    33,6
   2189    33,6    1097    33,6
   2194     101    1099     0,0
   2199    33,6    1102     0,0
   2204    33,6    1104     0,0
   2209     101    1107     0,0
   2214     101    1109     0,0
   2219     101    1112     0,0
   2224     101    1114     0,0
   2229    33,6    1117     0,0
   2234     134    1119    33,6
   2239    33,6    1122    33,6
   2244     0,0    1124     0,0
   2249    33,6    1127     0,0
   2250    56,0    1127    21,0
   2251    60,0    1128    19,0
   2252    67,0    1128    26,0
   2253    60,0    1129    26,0
   2254    62,0    1129    25,0
   2255    73,0    1129    17,0
   2256    87,0    1130    26,0
   2257     101    1130    22,0
   2258    95,0    1131    21,0
   2259    99,0    1131    26,0
   2260     128    1132    29,0
   2261     136    1132    23,0
   2262     200    1133    15,0
   2263     221    1133    18,0
   2264     294    1134    28,0
   2265     316    1134    29,0
   2266     378    1135    23,0
   2267     419    1135    23,0
   2268     528    1136    22,0
   2269     554    1136    21,0
   2270     556    1137    24,0
   2271     677    1137    28,0
   2272     689    1138    23,0
   2273     886    1138    12,0
   2274    1081    1139    23,0
   2275    1473    1139    17,0
   2276    2157    1140    23,0
   2277    2964    1140    32,0
   2278    4023    1141    32,0
   2279    4800    1141    29,0
   2280    5753    1142    22,0
   2281    6297    1142    34,0
   2282    6761    1143    30,0
   2283    6704    1143    44,0
   2284    6682    1144    31,0
   2285    6427    1144    36,0
   2286    6221    1145    20,0
   2287    5985    1145    27,0
   2288    5553    1146    30,0
   2289    5039    1146    27,0
   2290    4528    1147    26,0
   2291    3869    1147    29,0
   2292    3340    1148    18,0
   2293    2608    1148    29,0
   2294    2014    1149    26,0
   2295    1555    1149    20,0
   2296    1235    1150    18,0
   2297     893    1150    25,0
   2298     685    1151    26,0
   2299     572    1151    25,0
   2300     452    1152    15,0
   2301     378    1152    28,0
   2302     362    1153    21,0
   2303     258    1153    22,0
   2304     249    1154    19,0
   2305     204    1154    14,0
   2306     206    1155    22,0
   2307     161    1155    22,0
   2308     174    1156    21,0
   2309     166    1156    27,0
   2310     131    1157    18,0
   2311     159    1157    16,0
   2312     150    1158    23,0
   2313     148    1158    20,0
   2314     162    1159    18,0
   2315     159    1159    13,0
   2316     186    1160    18,0
   2317     174    1160    25,0
   2318     156    1161    27,0
   2319     165    1161    17,0
   2320     155    1162    34,0
   2321     147    1162    15,0
   2322     138    1163    19,0
   2323     137    1163    18,0
   2324     157    1164    19,0
   2325     136    1164    24,0
   2326     140    1165    15,0
   2327     131    1165    17,0
   2328     124    1166    21,0
   2329     123    1166    25,0
   2330     120    1167    19,0
   2331     121    1167    26,0
   2332     120    1168    22,0
   2333     122    1168    20,0
   2334     104    1169    17,0
   2335     100    1169    18,0
   2336    90,0    1170    25,0
   2337    91,0    1170    25,0
   2338     102    1171    27,0
   2339    97,0    1171    19,0
   2340    91,0    1172    24,0
   2341    91,0    1172    28,0
   2342    87,0    1173    30,0
   2343    88,0    1173    23,0
   2344    77,0    1174    31,0
   2345    79,0    1174    24,0
   2346    80,0    1175    39,0
   2347    75,0    1175    40,0
   2348    74,0    1176    25,0
   2349    76,0    1176    32,0
   2350    67,0    1177    25,0
   2351    82,0    1177    39,0
   2352    77,0    1178    38,0
   2353    88,0    1178    39,0
   2354    68,0    1179    20,0
   2355    80,0    1179    29,0
   2356    84,0    1180    26,0
   2357    85,0    1180    18,0
   2358    76,0    1181    27,0
   2359    66,0    1181    28,0
   2360    84,0    1182    24,0
   2361    81,0    1182    24,0
   2362    65,0    1183    20,0
   2363    66,0    1183    28,0
   2364    73,0    1184    18,0
   2365    76,0    1184    23,0
   2366    67,0    1185    23,0
   2367    62,0    1185    16,0
   2368    55,0    1186    19,0
   2369    57,0    1186    25,0
   2370    61,0    1187    17,0
   2371    73,0    1187    28,0
   2372    38,0    1188    19,0
   2373    53,0    1188    16,0
   2374    77,0    1189    24,0
   2375    69,0    1189    20,0
   2376    69,0    1190    19,0
   2377    65,0    1190    25,0
   2378    55,0    1191    18,0
   2379    45,0    1191    15,0
   2380    56,0    1192    12,0
   2381    58,0    1192    16,0
   2382    55,0    1193    14,0
   2383    53,0    1193    26,0
   2384    52,0    1194    26,0
   2385    49,0    1194    16,0
   2386    55,0    1195    13,0
   2387    53,0    1195    19,0
   2388    43,0    1196    23,0
   2389    57,0    1196    23,0
   2390    38,0    1197    15,0
   2391    56,0    1197    16,0
   2392    54,0    1198    19,0
   2393    52,0    1198    15,0
   2394    59,0    1199    12,0
   2395    50,0    1199    18,0
   2396    54,0    1200    14,0
   2397    44,0    1200    20,0
   2398    42,0    1201    15,0
   2399    49,0    1201    13,0
   2400    59,0    1202    22,0
   2401    46,0    1202    24,0
   2402    52,0    1203    21,0
   2403    52,0    1203    20,0
   2404    43,0    1204    25,0
   2405    58,0    1204    17,0
   2406    34,0    1205    16,0
   2407    45,0    1205    21,0
   2408    46,0    1206    22,0
   2409    37,0    1206    17,0
   2410    51,0    1207    16,0
   2411    49,0    1207    20,0
   2412    50,0    1208    26,0
   2413    47,0    1208    21,0
   2414    52,0    1209    13,0
   2415    50,0    1209    15,0
   2416    51,0    1210    14,0
   2417    54,0    1210    14,0
   2418    49,0    1211    20,0
   2419    36,0    1211    25,0
   2420    54,0    1212    25,0
   2421    44,0    1212    16,0
   2422    46,0    1213    16,0
