01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1842     425     167
    839    1607     427     134
    844    1607     430     100
    849    1674     432     100
    854    1708     435     100
    859    1808     437     100
    864    1741     440    67,0
    869    1741     442    67,0
    874    1708     445    33,5
    879    1741     447    67,0
    884    1708     450    33,5
    889    1741     452    67,0
    894    1674     455    67,0
    899    1507     457    67,0
    904    1373     460    67,0
    909    1440     462    67,0
    914    1574     465    67,0
    919    1607     467    67,0
    924    1708     469    67,0
    929    1708     472     100
    934    1641     474     100
    939    1574     477     134
    944    1574     479     134
    949    1607     482     134
    954    1674     484     134
    959    1674     487     134
    964    1775     489     134
    969    1741     492     134
    974    1708     494     134
    979    1775     497     167
    984    1741     499     167
    989    1708     502     167
    994    1674     504     167
    999    1641     507     134
   1004    1674     509     134
   1009    1808     511     100
   1014    1976     514     100
   1019    2210     516     100
   1024    2411     519     100
   1029    2512     521     100
   1034    2713     524     100
   1039    3181     526     100
   1044    3751     529     100
   1049    4488     531     134
   1054    5660     534     134
   1059    6664     536     134
   1064    7435     538     134
   1069    8238     541     167
   1074    8975     543     167
   1079   10382     546     167
   1084   12324     548     134
   1089   14367     551     167
   1094   15874     553     167
   1099   15840     556     167
   1104   14233     558     234
   1109   11118     561     268
   1114    7535     563     268
   1119    4287     566     234
   1124    2646     568     234
   1129    2344     571     201
   1134    2110     573     167
   1139    2043     576     100
   1144    1775     578    67,0
   1149    1607     581     100
   1154    1440     583     100
   1159    1340     586     100
   1164    1373     588     134
   1169    1407     591     134
   1174    1540     593     134
   1179    1607     596     134
   1184    1741     598     134
   1189    1909     601     134
   1194    2110     603     134
   1199    2512     606     134
   1204    3181     608    67,0
   1209    4253     610    67,0
   1214    5760     613    67,0
   1219    8540     615    67,0
   1224   14434     618     134
   1229   23375     620     167
   1230   23619     621     194
   1231   25688     621     216
   1232   27839     622     207
   1233   30302     622     244
   1234   32449     623     271
   1235   34436     623     272
   1236   36304     624     278
   1237   38202     624     296
   1238   39675     625     318
   1239   41352     625     370
   1240   42742     626     332
   1241   43398     626     341
   1242   44958     627     402
   1243   45586     627     438
   1244   46292     628     395
   1245   46946     628     438
   1246   47314     629     429
   1247   47830     629     497
   1248   47634     630     473
   1249   48211     630     432
   1250   47896     631     472
   1251   47664     631     476
   1252   47683     632     460
   1253   47300     632     446
   1254   46623     633     453
   1255   46026     633     433
   1256   45386     634     408
   1257   44953     634     410
   1258   44656     635     420
   1259   44354     635     399
   1260   44951     636     418
   1261   44881     636     423
   1262   46879     637     485
   1263   49087     637     458
   1264   52188     638     520
   1265   55392     638     565
   1266   59088     639     656
   1267   63765     639     723
   1268   68557     640     858
   1269   73029     640     916
   1270   77736     641    1091
   1271   81751     641    1154
   1272   86130     642    1350
   1273   90383     642    1424
   1274   93730     643    1527
   1275   96304     643    1544
   1276   98852     644    1646
   1277   99806     644    1630
   1278  101022     645    1663
   1279  101674     645    1833
   1280  102564     646    1875
   1281  101382     646    1849
   1282  100926     647    1813
   1283  100190     647    1772
   1284   98740     648    1735
   1285   96719     648    1669
   1286   94423     649    1640
   1287   91886     649    1464
   1288   88788     650    1338
   1289   85876     650    1314
   1290   80383     651    1168
   1291   75906     651     953
   1292   71180     652     926
