01.01.2007   N1106
Образец: "Y"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834  291473     425    7799
    839  258963     427    6455
    844  203392     430    4841
    849  141534     432    3429
    854   90030     435    2252
    859   44948     437    1378
    864   18826     440     706
    869    8573     442     269
    874    7026     445     0,0
    879    7262     447     0,0
    884    6320     450     0,0
    889    5480     452     0,0
    894    5177     455    33,6
    899    4707     457    33,6
    904    4438     460    33,6
    909    4202     462    33,6
    914    4101     465    67,2
    919    4068     467    67,2
    924    4169     469    67,2
    929    4169     472    67,2
    934    4068     474    67,2
    939    4034     477     101
    944    3967     479     101
    949    3833     482     101
    954    3765     484     134
    959    3496     487     134
    964    3463     489     101
    969    3429     492     101
    974    3429     494     101
    979    3496     497     101
    984    3597     499     101
    989    3664     502     101
    994    3564     504     101
    999    3395     507     101
   1004    3194     509     101
   1009    3295     511     101
   1014    3295     514    67,2
   1019    3194     516    67,2
   1024    3227     519    67,2
   1029    3194     521    67,2
   1034    3295     524    67,2
   1039    3328     526    67,2
   1044    3395     529    67,2
   1049    3463     531    67,2
   1054    3362     534    33,6
   1059    3362     536    33,6
   1064    3093     538    67,2
   1069    2958     541    67,2
   1074    3127     543    67,2
   1079    3160     546     101
   1084    3127     548     101
   1089    2992     551     134
   1094    3127     553     134
   1099    3160     556     101
   1104    3194     558     101
   1109    2925     561     101
   1114    2824     563     101
   1119    2824     566     101
   1124    2757     568     134
   1129    2858     571     134
   1134    2689     573     134
   1139    2622     576     101
   1144    2555     578     101
   1149    2555     581     101
   1154    2723     583     134
   1159    2656     586     134
   1164    2622     588     168
   1169    2555     591     168
   1174    2555     593     134
   1179    2589     596     101
   1184    2488     598     101
   1189    2286     601     101
   1194    2286     603     101
   1199    2051     606     101
   1204    2084     608     134
   1209    2084     610     168
   1214    2017     613     134
   1219    2051     615     134
   1224    1983     618     134
   1229    2152     620     134
   1234    2084     623     134
   1239    2051     625     168
   1244    1782     628     202
   1249    1916     630     168
   1254    1748     633     134
   1259    1815     635     134
   1264    1782     638     134
   1269    1748     640     168
   1274    1849     643     202
   1279    2084     645     202
   1284    2185     648     168
   1289    2152     650     168
   1294    2185     652     168
   1299    2152     655     202
   1304    2051     657     235
   1309    1815     660     269
   1314    1782     662     235
   1319    1916     665     202
   1324    1782     667     202
   1329    1782     670     168
   1334    1647     672     235
   1339    1681     675     303
   1344    1647     677     303
   1349    1479     680     336
   1354    1412     682     303
   1359    1210     685     303
   1364    1143     687     303
   1369    1109     690     269
   1374    1345     692     269
   1379    1378     695     269
   1384    1345     697     269
   1389    1378     700     336
   1390    1389     700     343
   1392    1344     701     353
   1394    1304     702     382
   1396    1347     703     380
   1398    1301     704     417
   1400    1255     705     370
   1402    1213     706     429
   1404    1146     707     432
   1406    1079     708     471
   1408    1060     709     470
   1410    1086     710     513
   1412    1144     711     595
   1414    1147     712     587
   1416    1126     713     680
   1418    1334     714     763
   1420    1419     715     849
   1422    1666     716     926
   1424    1854     717     892
   1426    2133     718    1104
   1428    2302     719    1212
   1430    2559     720    1473
   1432    2784     721    1663
   1434    3008     722    2001
   1436    3041     723    2343
   1438    2939     724    2763
   1440    3064     725    3174
   1442    2891     726    3597
   1444    2798     727    4106
   1446    2641     728    4662
   1448    2505     729    5068
   1450    2339     730    5500
   1452    2232     731    5965
   1455    2138     732    6612
   1457    2032     733    6811
   1459    2076     734    7189
   1461    2192     735    7676
   1463    2175     736    8025
   1465    2225     737    8562
   1467    2407     738    8883
   1469    2466     739    9333
   1471    2267     740    9302
   1473    2284     741    9251
   1475    2191     742    8681
   1477    2122     743    8270
   1479    2098     744    7809
   1481    1951     745    6892
   1483    1797     746    5966
   1485    1649     747    5108
   1487    1513     748    4139
   1489    1356     749    3270
   1491    1092     750    2496
   1493    1041     751    1754
   1495     917     752    1322
   1497     920     753     910
   1499     808     754     785
   1501     818     755     781
   1503     808     756     699
   1505     855     757     633
   1507     820     758     610
   1509     857     759     577
   1511     876     760     634
   1513     863     761     559
   1515     928     762     590
   1517     938     763     530
   1519     893     764     528
   1521     973     765     504
   1523    1063     766     542
   1525    1156     767     500
   1527    1388     768     511
   1529    1549     769     464
   1531    1618     770     531
   1533    1876     771     519
   1535    1859     772     466
   1537    1978     773     484
   1539    1994     774     496
   1541    2019     775     464
   1543    1908     776     475
   1545    1842     777     511
   1547    1654     778     506
   1549    1505     779     531
   1551    1313     780     510
   1553    1069     781     489
   1556     919     782     528
   1558     804     783     487
   1560     724     784     461
   1562     686     785     499
   1564     667     786     482
   1566     704     787     485
   1568     713     788     501
   1570     681     789     478
   1572     655     790     472
   1574     658     791     515
   1576     634     792     476
   1578     647     793     529
   1580     646     794     508
   1582     596     795     549
   1584     616     796     568
   1586     646     797     553
   1588     607     798     547
